App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 06:11:07 PM","15 min 34 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
11,0,2,1798004,0,0,10,0,
83,0,61,1800072,58,0,83,40,
160,0,153,1799560,152,0,159,21,
263,0,255,1799672,254,0,262,3,
373,0,356,1799852,354,0,373,1,
464,0,457,1799932,456,0,463,8,
565,0,558,1799932,556,0,564,3,
665,0,658,1799992,657,0,665,3,
766,0,759,1799992,758,0,765,1,
867,0,860,1800112,859,0,866,3,
969,0,961,1800136,960,0,968,3,
1074,0,1064,1800248,1061,0,1073,1,
1170,0,1162,1800248,1161,0,1170,3,
1271,0,1264,1800216,1262,0,1271,4,
1378,0,1364,1800268,1363,0,1378,1,
1472,0,1467,1799800,1464,0,1472,14,
1573,0,1566,1799364,1565,0,1572,2,
1674,0,1667,1799424,1665,0,1673,4,
1774,0,1768,1799424,1766,0,1774,3,
1875,0,1869,1799604,1867,0,1874,13,
1973,0,1968,1800352,1968,0,1973,27,
2075,0,2069,1800532,2068,0,2075,27,
2174,0,2169,1800736,2169,0,2174,32,
2279,0,2272,1800844,2270,0,2279,27,
2376,0,2371,1801072,2370,0,2376,27,
2477,0,2472,1801296,2471,0,2476,27,
2577,0,2572,1801652,2571,0,2577,25,
2678,0,2672,1801652,2671,0,2678,31,
2785,0,2773,1802112,2772,0,2784,30,
2879,0,2873,1803292,2872,0,2878,29,
2987,0,2975,1799688,2973,0,2987,54,
3035,1,3074,1800364,3074,0,3081,42,
3081,1,3176,1800420,3175,0,3184,5,
3185,1,3276,1800476,3275,0,3289,33,
3289,1,3377,1800352,3376,0,3391,32,
3391,1,3477,1800512,3476,0,3488,41,
3489,1,3578,1800376,3577,0,3588,30,
3588,1,3679,1800436,3678,0,3691,23,
3692,1,3780,1800496,3779,0,3791,27,
3791,1,3883,1800496,3881,0,3896,26,
3896,1,3984,1800412,3981,0,3992,28,
3992,1,4085,1800412,4082,0,4092,24,
4093,1,4186,1800412,4184,0,4195,23,
4195,1,4287,1799640,4285,0,4293,32,
4293,1,4388,1799820,4386,0,4395,27,
4396,1,4489,1799880,4487,0,4498,20,
4499,1,4588,1799780,4587,0,4594,30,
4594,1,4689,1799840,4688,0,4694,26,
4694,1,4791,1799900,4789,0,4799,28,
4799,1,4890,1799536,4889,0,4898,22,
4898,1,4991,1799464,4990,0,4996,25,
4996,1,5094,1799516,5092,0,5108,31,
5108,1,5193,1799072,5192,0,5204,57,
5204,1,5295,1800448,5294,0,5307,65,
5308,1,5400,1800924,5395,0,5409,51,
5410,1,5496,1798796,5495,0,5509,73,
5509,1,5601,1799708,5600,0,5610,74,
5611,1,5702,1799652,5700,0,5709,78,
5709,1,5801,1799948,5799,0,5818,77,
5818,1,5901,1800048,5900,0,5909,64,
5909,1,6002,1800224,6001,0,6011,55,
6011,1,6103,1800344,6101,0,6109,54,
6109,1,6204,1800420,6202,0,6210,46,
6210,1,6305,1800720,6304,0,6312,52,
6312,1,6405,1800596,6404,0,6411,53,
6412,1,6506,1800720,6505,0,6512,49,
6512,1,6607,1801068,6605,0,6615,49,
6616,1,6706,1802188,6705,0,6719,48,
6719,1,6807,1803016,6806,0,6812,47,
6812,1,6908,1803208,6907,0,6916,35,
6917,1,7008,1803372,7008,0,7023,36,
7023,1,7110,1801716,7108,0,7120,43,
7120,1,7209,1798728,7208,0,7221,35,
7222,1,7310,1798856,7309,0,7320,20,
7321,1,7411,1798684,7410,0,7424,35,
7424,1,7511,1799872,7510,0,7534,100,
7535,1,7621,1801384,7616,0,7635,100,
7635,1,7720,1802392,7716,0,7730,95,
7731,1,7819,1803320,7817,0,7833,86,
7834,1,7925,1802328,7924,0,7938,79,
7939,1,8025,1804280,8024,0,8036,88,
8037,1,8126,1800652,8125,0,8133,88,
8133,1,8226,1800444,8226,0,8237,40,
8237,1,8326,1800500,8326,0,8337,36,
8337,1,8427,1800756,8426,0,8439,40,
8440,1,8528,1800508,8527,0,8534,36,
8534,1,8629,1800508,8629,0,8634,30,
8634,1,8728,1800564,8728,0,8733,27,
8734,1,8829,1800624,8829,0,8834,27,
8834,1,8930,1800688,8929,0,8936,27,
8937,1,9032,1800856,9030,0,9040,25,
9040,1,9132,1800888,9131,0,9142,3,
9142,1,9232,1800740,9231,0,9237,11,
9238,1,9333,1800740,9332,0,9339,3,
9340,1,9435,1800796,9434,0,9441,4,
9442,1,9535,1800796,9534,0,9541,2,
9542,1,9635,1800856,9634,0,9642,3,
9643,1,9736,1801416,9735,0,9745,4,
9745,1,9838,1802344,9836,0,9848,31,
9848,1,9940,1802128,9937,0,9946,48,
9946,1,9988,1802308,9988,0,9993,44,
9993,1,10089,1802484,10088,0,10094,36,
10094,1,10189,1802764,10189,0,10194,34,
10194,1,10290,1802940,10289,0,10296,36,
10296,1,10391,1802964,10390,0,10396,39,
10397,1,10492,1802756,10491,0,10498,32,
10498,1,10592,1802656,10591,0,10597,32,
10597,1,10693,1802136,10692,0,10698,29,
10698,1,10793,1803176,10792,0,10798,25,
10798,1,10893,1804600,10893,0,10899,27,
10899,1,10994,1806376,10993,0,11000,31,
11000,1,11096,1807120,11094,0,11113,62,
11113,1,11196,1803460,11195,0,11213,64,
11214,1,11296,1803500,11295,0,11303,46,
11303,1,11396,1809508,11395,0,11402,40,
11402,1,11497,1809508,11496,0,11503,16,
11503,1,11596,1808868,11595,0,11601,21,
11601,1,11696,1808868,11696,0,11702,24,
11702,1,11797,1808868,11796,0,11802,4,
11802,1,11897,1808848,11896,0,11903,2,
11903,1,11999,1808996,11998,0,12007,8,
12008,1,12098,1808996,12097,0,12102,2,
12102,1,12198,1809016,12197,0,12202,12,
12203,1,12298,1809016,12297,0,12303,2,
12303,1,12399,1809076,12398,0,12403,4,
12403,1,12499,1809076,12498,0,12503,4,
12503,1,12599,1809076,12598,0,12605,0,
12605,1,12701,1808920,12699,0,12705,7,
12705,1,12799,1808920,12798,0,12806,5,
12807,1,12899,1808920,12899,0,12904,24,
12904,1,13000,1808960,12999,0,13004,2,
13005,1,13100,1808040,13100,0,13105,7,
13105,1,13200,1808100,13200,0,13205,2,
13205,1,13301,1808160,13300,0,13307,5,
13307,1,13401,1808064,13400,0,13408,5,
13408,1,13501,1808116,13500,0,13506,4,
13506,1,13602,1808168,13601,0,13606,5,
13607,1,13702,1808168,13701,0,13706,2,
13706,1,13802,1808228,13801,0,13806,0,
13807,1,13902,1808300,13901,0,13906,2,
13907,1,14003,1808244,14002,0,14008,7,
14008,1,14104,1808072,14102,0,14111,4,
14111,1,14205,1808072,14204,0,14212,1,
14213,1,14306,1808124,14305,0,14313,4,
14313,1,14407,1808176,14405,0,14414,2,
