App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 02:02:10 PM","20 min 4 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
16,0,1,1769220,0,0,16,0,
60,0,52,1766412,50,0,59,39,
162,0,153,1766464,152,0,162,9,
261,0,254,1766368,253,0,260,9,
361,0,354,1766428,353,0,361,3,
461,0,455,1766428,454,0,461,0,
562,0,555,1766488,554,0,562,3,
664,0,656,1766564,655,0,664,1,
764,0,757,1766624,756,0,763,0,
865,0,859,1766684,857,0,865,3,
966,0,959,1766744,957,0,966,3,
1068,0,1060,1766796,1059,0,1067,0,
1168,0,1161,1766848,1160,0,1168,4,
1269,0,1262,1766960,1260,0,1269,3,
1372,0,1363,1766960,1361,0,1371,1,
1471,0,1464,1766396,1462,0,1471,12,
1573,0,1564,1766452,1563,0,1573,3,
1671,0,1665,1766452,1664,0,1671,3,
1772,0,1766,1766452,1764,0,1772,1,
1871,0,1866,1766840,1865,0,1871,17,
1972,0,1966,1767544,1965,0,1971,32,
2073,0,2067,1767776,2066,0,2072,25,
2174,0,2167,1768064,2166,0,2174,29,
2273,0,2268,1768076,2267,0,2272,30,
2374,0,2368,1768304,2368,0,2373,29,
2474,0,2469,1768464,2468,0,2474,27,
2574,0,2569,1768756,2569,0,2574,25,
2679,0,2672,1768812,2670,0,2678,31,
2778,0,2771,1769276,2770,0,2777,25,
2882,0,2873,1770068,2871,0,2882,29,
2996,0,2972,1766528,2971,0,2995,59,
3077,0,3072,1766248,3071,0,3077,43,
3182,0,3174,1766308,3173,0,3181,1,
3282,0,3275,1766368,3274,0,3282,38,
3292,1,3375,1766424,3375,0,3386,33,
3389,1,3476,1766476,3475,0,3484,35,
3484,1,3578,1766512,3576,0,3591,19,
3591,1,3678,1766504,3677,0,3691,24,
3691,1,3778,1766556,3778,0,3793,21,
3793,1,3880,1766148,3879,0,3890,31,
3891,1,3981,1766148,3979,0,4001,23,
4002,1,4086,1766260,4083,0,4091,30,
4092,1,4184,1766444,4182,0,4194,23,
4195,1,4287,1766444,4284,0,4296,19,
4296,1,4385,1766504,4383,0,4397,20,
4398,1,4486,1766556,4485,0,4492,31,
4492,1,4587,1766568,4586,0,4595,24,
4595,1,4687,1766404,4686,0,4693,27,
4693,1,4789,1766584,4787,0,4794,23,
4794,1,4889,1766584,4888,0,4893,23,
4894,1,4989,1766484,4988,0,4994,24,
4994,1,5090,1766544,5089,0,5096,21,
5096,1,5191,1766656,5189,0,5206,27,
5206,1,5295,1762080,5291,0,5308,25,
5308,1,5393,1762524,5391,0,5409,51,
5409,1,5493,1763416,5492,0,5503,78,
5504,1,5593,1763832,5592,0,5605,75,
5605,1,5693,1764492,5693,0,5703,74,
5704,1,5794,1765276,5793,0,5806,76,
5806,1,5894,1766300,5894,0,5905,80,
5906,1,5996,1766588,5995,0,6009,78,
6010,1,6100,1766768,6096,0,6110,57,
