App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 12:45:22 AM","56 min 47 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
11,0,1,1801476,0,0,10,0,
109,0,102,1797732,101,0,109,33,
210,0,203,1797976,201,0,209,7,
311,0,304,1797492,303,0,311,3,
411,0,404,1797668,403,0,411,3,
512,0,505,1797892,504,0,512,3,
613,0,606,1798120,605,0,613,1,
716,0,707,1798348,705,0,716,3,
815,0,807,1798584,806,0,814,1,
916,0,908,1798824,907,0,916,6,
1017,0,1009,1799040,1008,0,1017,3,
1121,0,1110,1799260,1109,0,1121,1,
1215,0,1210,1798736,1209,0,1214,12,
1318,0,1312,1798792,1310,0,1318,3,
1419,0,1412,1798792,1411,0,1419,3,
1520,0,1513,1798852,1512,0,1520,3,
1621,0,1614,1798908,1613,0,1620,1,
1724,0,1715,1798968,1714,0,1723,4,
1832,0,1821,1798968,1817,0,1831,1,
1925,0,1918,1799020,1916,0,1925,3,
2023,0,2017,1799876,2017,0,2023,20,
2124,0,2118,1800164,2117,0,2123,27,
2224,0,2219,1800456,2218,0,2224,27,
2325,0,2319,1800636,2319,0,2324,27,
2425,0,2420,1800876,2419,0,2425,29,
2525,0,2520,1801036,2519,0,2525,27,
2626,0,2621,1801516,2620,0,2626,27,
2727,0,2721,1801576,2720,0,2726,27,
2827,0,2822,1801576,2821,0,2827,27,
2929,0,2922,1802256,2921,0,2929,30,
3029,0,3022,1803248,3022,0,3029,26,
3142,0,3125,1799684,3123,0,3142,61,
3232,0,3225,1790884,3224,0,3232,54,
3357,0,3327,1790760,3325,0,3357,9,
3387,1,3428,1790692,3426,0,3434,56,
3434,1,3530,1790804,3528,0,3537,35,
3537,1,3630,1790684,3628,0,3637,19,
3637,1,3731,1790632,3729,0,3743,17,
3744,1,3832,1790560,3830,0,3838,20,
3838,1,3933,1790332,3932,0,3940,21,
3940,1,4033,1790280,4032,0,4040,20,
4040,1,4134,1790036,4133,0,4141,22,
4141,1,4235,1789828,4234,0,4250,18,
4250,1,4334,1789828,4333,0,4340,18,
4341,1,4435,1789828,4434,0,4449,18,
4449,1,4536,1789880,4535,0,4551,20,
4551,1,4636,1789880,4635,0,4640,26,
4640,1,4736,1789992,4735,0,4741,20,
4742,1,4838,1789992,4836,0,4851,21,
4851,1,4940,1790044,4937,0,4952,21,
4952,1,5038,1790096,5037,0,5054,21,
5054,1,5138,1789372,5138,0,5148,37,
5149,1,5239,1789452,5238,0,5251,21,
5251,1,5341,1789452,5340,0,5355,20,
5355,1,5441,1789504,5440,0,5454,28,
5454,1,5545,1790152,5541,0,5557,62,
5557,1,5646,1791964,5642,0,5655,83,
5655,1,5748,1792200,5747,0,5758,70,
5758,1,5848,1792380,5844,0,5857,78,
5857,1,5948,1792556,5946,0,5956,73,
5956,1,6050,1792980,6047,0,6062,76,
6062,1,6149,1793096,6148,0,6156,71,
6157,1,6250,1790852,6248,0,6257,49,
6257,1,6350,1791016,6349,0,6357,49,
6357,1,6450,1791468,6449,0,6458,46,
6458,1,6550,1791480,6549,0,6557,45,
6557,1,6651,1791640,6650,0,6658,50,
6658,1,6751,1792432,6750,0,6757,51,
6758,1,6852,1793580,6850,0,6865,47,
6865,1,6952,1794140,6951,0,6968,45,
6968,1,7053,1793488,7052,0,7062,37,
7062,1,7154,1793612,7153,0,7164,29,
7164,1,7254,1792492,7254,0,7264,40,
7264,1,7355,1789796,7354,0,7363,38,
7363,1,7456,1789972,7455,0,7468,20,
7468,1,7561,1789752,7558,0,7575,48,
7576,1,7658,1791204,7656,0,7675,100,
7676,1,7759,1793956,7758,0,7784,100,
7785,1,7859,1794848,7858,0,7880,97,
7881,1,7964,1795724,7962,0,7974,68,
7974,1,8062,1795456,8060,0,8073,54,
8073,1,8164,1796968,8163,0,8179,87,
8179,1,8265,1793752,8264,0,8273,51,
