App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 04:28:31 PM","15 min 46 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
15,0,1,1621180,0,0,14,1,
108,0,101,1625760,100,0,108,47,
208,0,202,1625984,201,0,208,12,
311,0,303,1626288,302,0,310,1,
412,0,404,1626524,403,0,411,1,
516,0,505,1626580,503,0,516,3,
615,0,605,1626480,604,0,614,8,
715,0,706,1626480,705,0,713,4,
814,0,807,1626532,806,0,813,3,
915,0,908,1626672,907,0,914,3,
1016,0,1009,1626732,1007,0,1016,1,
1117,0,1110,1626784,1108,0,1117,4,
1218,0,1210,1626836,1209,0,1218,0,
1319,0,1311,1626888,1310,0,1318,4,
1420,0,1412,1626940,1410,0,1419,3,
1522,0,1513,1626892,1511,0,1521,3,
1622,0,1613,1626432,1612,0,1622,14,
1721,0,1714,1626432,1713,0,1721,2,
1822,0,1815,1626476,1814,0,1821,1,
1923,0,1916,1626504,1914,0,1922,3,
2024,0,2019,1627232,2017,0,2023,18,
2122,0,2117,1627576,2116,0,2122,27,
2223,0,2217,1627868,2216,0,2223,27,
2323,0,2318,1628064,2317,0,2322,32,
2423,0,2418,1628244,2417,0,2423,27,
2524,0,2519,1628424,2518,0,2523,27,
2626,0,2621,1628904,2620,0,2625,29,
2725,0,2720,1628964,2719,0,2724,27,
2827,0,2821,1629024,2819,0,2827,29,
2927,0,2921,1629772,2920,0,2927,29,
3028,0,3022,1630276,3021,0,3028,30,
3133,0,3123,1625468,3122,0,3133,59,
3229,0,3223,1626512,3223,0,3228,19,
3366,0,3326,1626512,3324,0,3366,5,
3414,1,3425,1626388,3424,0,3431,66,
3432,1,3526,1626440,3525,0,3535,29,
3535,1,3627,1626440,3626,0,3646,27,
3647,1,3727,1626196,3726,0,3734,48,
3734,1,3829,1626196,3827,0,3843,25,
3844,1,3928,1626364,3927,0,3936,23,
3936,1,4030,1626316,4028,0,4039,24,
4040,1,4132,1626316,4130,0,4149,21,
4149,1,4233,1626368,4230,0,4259,25,
4260,1,4331,1626548,4330,0,4339,47,
4339,1,4431,1626508,4431,0,4436,29,
4436,1,4532,1626508,4532,0,4540,24,
4541,1,4632,1626508,4632,0,4642,22,
4643,1,4733,1626508,4732,0,4740,17,
4741,1,4833,1626408,4832,0,4843,23,
4844,1,4934,1626500,4933,0,4949,20,
4949,1,5034,1626552,5034,0,5049,21,
5049,1,5142,1626188,5135,0,5150,32,
5150,1,5236,1626364,5236,0,5248,19,
5248,1,5341,1626316,5336,0,5348,23,
5348,1,5443,1626368,5437,0,5454,32,
5454,1,5542,1624620,5539,0,5561,62,
5561,1,5644,1624760,5642,0,5663,77,
5664,1,5745,1625968,5744,0,5760,77,
5760,1,5846,1626608,5844,0,5852,88,
5852,1,5947,1626856,5945,0,5963,76,
5963,1,6047,1627092,6045,0,6052,75,
6053,1,6148,1627208,6146,0,6157,78,
6158,1,6247,1627500,6246,0,6255,44,
6256,1,6347,1627684,6347,0,6353,57,
6354,1,6448,1627860,6447,0,6458,52,
6458,1,6551,1627872,6547,0,6563,56,
6563,1,6649,1627872,6648,0,6653,48,
6654,1,6749,1627672,6749,0,6758,51,
6759,1,6852,1628504,6850,0,6864,52,
6864,1,6950,1629488,6949,0,6961,53,
6961,1,7051,1630316,7050,0,7065,40,
7065,1,7153,1630440,7152,0,7167,40,
7170,1,7254,1630396,7253,0,7266,39,
7267,1,7358,1626060,7354,0,7367,38,
7367,1,7457,1626244,7455,0,7467,29,
7467,1,7559,1626244,7558,0,7565,19,
7565,1,7659,1626452,7658,0,7688,70,
7688,1,7760,1628320,7760,0,7788,100,
7794,1,7864,1629308,7862,0,7879,95,
7879,1,7966,1629540,7963,0,7987,89,
