App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 01:31:04 PM","20 min 0 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
9,0,1,1773708,0,0,9,0,
113,0,105,1769536,104,0,112,33,
212,0,206,1769772,205,0,211,4,
316,0,309,1769892,308,0,316,1,
417,0,410,1769952,409,0,416,4,
518,0,511,1770012,510,0,517,3,
618,0,612,1770064,610,0,618,3,
719,0,712,1770124,711,0,719,3,
820,0,813,1770272,812,0,820,3,
930,0,920,1770324,916,0,929,3,
1023,0,1015,1770172,1014,0,1022,3,
1124,0,1116,1770228,1115,0,1123,3,
1224,0,1217,1770284,1216,0,1224,4,
1324,0,1317,1769876,1316,0,1324,8,
1425,0,1418,1769876,1417,0,1425,3,
1526,0,1519,1769876,1518,0,1525,3,
1627,0,1620,1769928,1619,0,1627,5,
1728,0,1721,1769492,1720,0,1727,4,
1830,0,1822,1769564,1821,0,1830,1,
1930,0,1921,1770604,1920,0,1930,19,
2028,0,2022,1770896,2021,0,2027,29,
2128,0,2122,1771136,2121,0,2128,27,
2229,0,2223,1771880,2222,0,2229,56,
2331,0,2323,1772868,2322,0,2330,58,
2430,0,2424,1773708,2423,0,2430,48,
2531,0,2526,1773044,2524,0,2531,38,
2630,0,2625,1773344,2624,0,2629,25,
2731,0,2725,1773364,2724,0,2730,29,
2831,0,2826,1773588,2825,0,2831,27,
2933,0,2926,1774636,2925,0,2932,27,
3038,0,3028,1774620,3026,0,3038,51,
3134,0,3128,1761584,3127,0,3133,44,
3239,0,3229,1761480,3228,0,3239,5,
3326,1,3333,1761488,3332,0,3341,46,
3342,1,3434,1761540,3433,0,3446,44,
3446,1,3534,1761812,3534,0,3546,63,
3546,1,3635,1761772,3634,0,3648,29,
3648,1,3737,1761908,3736,0,3749,22,
3750,1,3837,1761908,3836,0,3854,25,
3861,1,3938,1761960,3937,0,3951,25,
3952,1,4041,1761960,4039,0,4051,20,
4051,1,4140,1761564,4138,0,4151,27,
4151,1,4242,1761564,4240,0,4251,24,
4251,1,4344,1761564,4342,0,4354,20,
4354,1,4444,1761728,4442,0,4450,38,
4450,1,4545,1761784,4544,0,4552,18,
4552,1,4646,1761784,4644,0,4652,16,
4653,1,4748,1761896,4746,0,4763,23,
4764,1,4847,1762020,4846,0,4854,27,
4855,1,4948,1761932,4947,0,4953,21,
4953,1,5048,1756132,5047,0,5054,23,
5055,1,5148,1756312,5147,0,5155,17,
5155,1,5249,1756492,5248,0,5255,18,
5255,1,5350,1756612,5349,0,5365,26,
5365,1,5450,1757072,5449,0,5464,46,
5465,1,5551,1758356,5549,0,5567,75,
5567,1,5651,1759472,5650,0,5666,80,
5666,1,5752,1759864,5751,0,5766,82,
5767,1,5853,1760036,5852,0,5865,76,
5865,1,5953,1760332,5952,0,5965,77,
5965,1,6053,1760508,6052,0,6065,78,
6065,1,6154,1760680,6153,0,6165,57,
6165,1,6258,1760904,6254,0,6267,53,
6267,1,6360,1760964,6354,0,6368,47,
6368,1,6461,1761316,6459,0,6469,56,
6469,1,6560,1761220,6558,0,6567,53,
6567,1,6661,1761280,6660,0,6667,53,
6668,1,6763,1762120,6761,0,6769,51,
6769,1,6863,1762736,6862,0,6871,47,
6871,1,6963,1763332,6961,0,6970,45,
6970,1,7064,1763452,7062,0,7071,33,
7071,1,7165,1763512,7164,0,7173,32,
7173,1,7265,1759696,7264,0,7278,41,
7278,1,7369,1759004,7365,0,7377,39,
7377,1,7467,1759004,7465,0,7472,23,
7472,1,7568,1758848,7566,0,7605,29,
7605,1,7669,1758672,7668,0,7702,99,
7702,1,7771,1761172,7770,0,7783,97,
7783,1,7874,1762968,7873,0,7885,79,
7886,1,7973,1763868,7971,0,7986,63,
7986,1,8074,1763160,8072,0,8088,63,
8088,1,8175,1763136,8173,0,8183,95,
8183,1,8275,1761136,8274,0,8281,67,
8282,1,8378,1760020,8375,0,8384,38,
8384,1,8479,1760020,8476,0,8486,24,
8487,1,8580,1760020,8578,0,8602,19,
8602,1,8679,1760136,8678,0,8684,12,
8684,1,8780,1760320,8779,0,8785,10,
8786,1,8881,1760320,8880,0,8888,6,
8888,1,8983,1760180,8980,0,8987,7,
8988,1,9084,1760240,9083,0,9095,9,
9096,1,9182,1760516,9181,0,9187,27,
9188,1,9233,1760568,9232,0,9241,3,
9242,1,9333,1760568,9332,0,9341,7,
9341,1,9434,1760620,9432,0,9442,3,
9442,1,9534,1760672,9533,0,9542,5,
9542,1,9635,1760672,9634,0,9644,5,
9644,1,9736,1760636,9734,0,9746,10,
9746,1,9838,1760608,9836,0,9845,4,
9845,1,9936,1760728,9936,0,9945,10,
9945,1,10037,1762236,10036,0,10046,30,
10046,1,10138,1762608,10137,0,10145,43,
10146,1,10239,1762856,10238,0,10247,35,
10248,1,10339,1763104,10338,0,10347,43,
10347,1,10440,1763352,10439,0,10449,43,
10449,1,10540,1763388,10539,0,10546,45,
10547,1,10640,1763448,10640,0,10645,30,
10645,1,10741,1762948,10740,0,10746,27,
10746,1,10842,1762756,10841,0,10847,27,
10847,1,10943,1763104,10942,0,10948,32,
10948,1,11043,1764056,11042,0,11049,25,
11050,1,11144,1765808,11143,0,11150,30,
11150,1,11244,1766800,11243,0,11259,30,
11259,1,11350,1768608,11346,0,11370,67,
11370,1,11445,1764216,11444,0,11450,81,
11451,1,11545,1764848,11545,0,11551,64,
11551,1,11646,1765564,11645,0,11652,51,
11652,1,11746,1766264,11745,0,11751,45,
11751,1,11846,1770480,11846,0,11851,37,
11852,1,11947,1771652,11946,0,11958,41,
11958,1,12047,1775744,12046,0,12056,72,
12057,1,12148,1784740,12147,0,12160,62,
12160,1,12250,1786896,12249,0,12268,90,
12268,1,12351,1788884,12349,0,12367,79,
12367,1,12454,1789772,12453,0,12470,90,
12470,1,12554,1789956,12554,0,12563,63,
12563,1,12656,1792312,12654,0,12663,68,
12664,1,12757,1795152,12754,0,12764,63,
12764,1,12858,1796392,12855,0,12865,65,
12866,1,12958,1797268,12957,0,12967,85,
12967,1,13058,1800740,13057,0,13067,67,
13067,1,13158,1811900,13157,0,13170,45,
13170,1,13258,1806172,13257,0,13264,40,
13264,1,13358,1806832,13357,0,13364,34,
