App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 11:19:27 PM","57 min 7 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
11,0,1,1778432,0,0,11,0,
108,0,102,1774480,101,0,108,23,
160,0,153,1774660,152,0,159,0,
260,0,253,1774896,252,0,260,3,
361,0,354,1775136,353,0,360,4,
461,0,454,1775308,453,0,461,3,
562,0,555,1775544,554,0,561,1,
665,0,655,1775844,654,0,664,4,
764,0,757,1775772,755,0,763,1,
865,0,857,1776008,856,0,865,1,
971,0,958,1776224,957,0,970,4,
1066,0,1059,1775840,1058,0,1065,11,
1166,0,1160,1775840,1158,0,1166,3,
1267,0,1260,1775840,1259,0,1266,4,
1368,0,1361,1775900,1360,0,1367,1,
1469,0,1463,1775960,1461,0,1469,3,
1576,0,1566,1776020,1563,0,1575,1,
1675,0,1664,1776028,1663,0,1675,1,
1772,0,1765,1776064,1763,0,1772,3,
1874,0,1865,1776536,1864,0,1873,13,
1970,0,1965,1777220,1964,0,1970,30,
2071,0,2066,1777400,2065,0,2071,25,
2171,0,2166,1777808,2165,0,2171,30,
2272,0,2266,1777920,2265,0,2271,27,
2373,0,2367,1778216,2366,0,2372,29,
2473,0,2468,1778340,2467,0,2473,27,
2574,0,2568,1778588,2567,0,2573,29,
2674,0,2669,1778608,2668,0,2674,25,
2775,0,2769,1778980,2768,0,2775,27,
2887,0,2871,1779972,2869,0,2886,30,
2982,0,2972,1777908,2971,0,2981,39,
3069,1,3071,1776040,3070,0,3077,77,
3077,1,3173,1776040,3171,0,3181,2,
3181,1,3273,1776032,3272,0,3285,25,
3286,1,3374,1776092,3373,0,3383,28,
3383,1,3476,1776148,3475,0,3482,25,
3482,1,3578,1776260,3575,0,3598,19,
3598,1,3676,1776316,3675,0,3681,35,
3682,1,3778,1776316,3776,0,3796,21,
3796,1,3878,1776276,3877,0,3883,25,
3884,1,3978,1776276,3977,0,3983,25,
3984,1,4081,1776336,4079,0,4093,21,
4093,1,4180,1776396,4179,0,4191,20,
4191,1,4281,1776396,4280,0,4294,22,
4294,1,4381,1776456,4380,0,4392,23,
4393,1,4482,1776508,4481,0,4494,21,
4495,1,4586,1776464,4583,0,4607,21,
4607,1,4691,1776004,4686,0,4696,42,
4696,1,4786,1776064,4784,0,4794,24,
4795,1,4889,1775816,4886,0,4907,20,
4907,1,4990,1775816,4986,0,5006,34,
5006,1,5091,1775868,5088,0,5108,25,
5109,1,5191,1775928,5189,0,5198,51,
5198,1,5292,1777268,5290,0,5303,76,
5306,1,5391,1777036,5391,0,5398,59,
5399,1,5492,1776728,5491,0,5499,51,
5499,1,5593,1776800,5591,0,5599,62,
