App,Package,Start Time,Duration,Filename
"System",,"Jun 7, 2018 @ 03:41:34 PM","1h 0 min 46 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
5,0,3,1762816,0,0,5,0,
97,0,60,1763064,56,0,97,0,
163,0,156,1765904,155,0,163,39,
268,0,258,1766320,256,0,267,7,
367,0,358,1766564,357,0,366,8,
463,0,458,1767280,457,0,463,27,
564,0,559,1767696,558,0,564,29,
664,0,659,1767968,659,0,664,29,
769,0,760,1768144,759,0,765,29,
866,0,860,1768224,860,0,865,30,
966,0,961,1768404,960,0,966,29,
1066,0,1062,1768776,1061,0,1066,25,
1167,0,1162,1768776,1161,0,1167,27,
1268,0,1263,1769024,1262,0,1267,29,
1370,0,1363,1769892,1362,0,1370,27,
1484,0,1466,1770200,1463,0,1484,36,
1557,1,1564,1774712,1564,0,1571,60,
1571,1,1668,1775068,1664,0,1677,13,
1677,1,1767,1775736,1765,0,1777,44,
1777,1,1869,1776028,1865,0,1877,44,
1877,1,1970,1776264,1966,0,1979,60,
1979,1,2070,1776228,2067,0,2078,58,
2078,1,2171,1776288,2170,0,2182,44,
2182,1,2272,1776536,2271,0,2282,43,
2282,1,2373,1776660,2371,0,2380,50,
2380,1,2474,1776976,2472,0,2481,46,
2481,1,2574,1776304,2572,0,2583,45,
2584,1,2674,1776364,2673,0,2682,50,
2682,1,2775,1776736,2774,0,2783,46,
2786,1,2876,1777860,2874,0,2882,53,
2882,1,2975,1778256,2974,0,2992,48,
2992,1,3076,1774208,3075,0,3082,35,
3082,1,3177,1774208,3176,0,3190,22,
3190,1,3280,1774156,3276,0,3285,36,
3286,1,3381,1770644,3380,0,3403,61,
3403,1,3479,1773444,3478,0,3492,100,
3492,1,3580,1775056,3579,0,3592,95,
3593,1,3682,1776544,3680,0,3692,83,
3693,1,3783,1776916,3782,0,3799,82,
3800,1,3889,1777588,3884,0,3897,92,
3897,1,3985,1777872,3983,0,3999,84,
3999,1,4087,1777596,4084,0,4094,83,
4095,1,4191,1777876,4190,0,4197,56,
4197,1,4291,1777932,4290,0,4297,41,
4298,1,4392,1777932,4391,0,4403,26,
4404,1,4495,1778032,4492,0,4503,12,
4504,1,4594,1778032,4593,0,4601,5,
4602,1,4695,1778092,4693,0,4702,3,
4702,1,4795,1778216,4794,0,4804,5,
4805,1,4895,1778216,4894,0,4905,3,
4905,1,4998,1778216,4997,0,5010,13,
5010,1,5098,1778288,5097,0,5106,25,
5106,1,5199,1777924,5198,0,5208,7,
5208,1,5300,1778084,5299,0,5309,3,
5310,1,5400,1778248,5399,0,5410,6,
5410,1,5501,1778348,5499,0,5510,4,
5510,1,5601,1778580,5600,0,5612,1,
5612,1,5702,1778424,5700,0,5713,13,
5714,1,5805,1778424,5803,0,5821,19,
