App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 04:04:45 PM","15 min 35 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
34,0,2,1728440,0,0,33,0,
114,0,104,1724528,102,0,114,33,
213,0,205,1724760,204,0,213,4,
262,0,255,1724728,254,0,262,14,
363,0,356,1724780,355,0,363,3,
470,0,458,1724780,456,0,469,3,
564,0,557,1724836,556,0,564,3,
665,0,658,1724896,657,0,665,0,
769,0,759,1724992,758,0,769,5,
866,0,862,1724788,858,0,866,7,
967,0,960,1724848,959,0,967,3,
1068,0,1061,1724848,1060,0,1067,1,
1173,0,1163,1724920,1160,0,1173,4,
1270,0,1263,1724920,1261,0,1269,4,
1370,0,1363,1724920,1362,0,1370,3,
1472,0,1464,1724980,1463,0,1472,3,
1573,0,1565,1725004,1564,0,1572,4,
1674,0,1666,1725056,1665,0,1673,3,
1776,0,1767,1725400,1766,0,1776,4,
1873,0,1867,1726032,1866,0,1872,25,
1973,0,1967,1726376,1967,0,1973,27,
2077,0,2069,1726664,2067,0,2076,27,
2175,0,2169,1726836,2168,0,2175,27,
2277,0,2272,1726724,2268,0,2276,33,
2375,0,2369,1726784,2368,0,2374,32,
2475,0,2470,1727264,2469,0,2475,27,
2576,0,2571,1727324,2570,0,2576,27,
2677,0,2671,1727384,2670,0,2676,27,
2778,0,2772,1728200,2771,0,2777,29,
2883,0,2873,1729704,2871,0,2882,28,
2980,0,2973,1724688,2972,0,2980,72,
3081,0,3073,1711644,3072,0,3081,17,
3216,0,3176,1711644,3174,0,3216,11,
3255,1,3275,1712104,3274,0,3282,71,
3282,1,3377,1712152,3375,0,3387,70,
3387,1,3481,1711104,3479,0,3487,43,
3487,1,3583,1711216,3581,0,3597,22,
3597,1,3683,1710700,3681,0,3697,28,
3697,1,3783,1710552,3782,0,3788,28,
3788,1,3883,1710496,3882,0,3888,20,
3888,1,3983,1710556,3982,0,3989,18,
3989,1,4085,1710608,4084,0,4096,24,
4096,1,4184,1710608,4183,0,4190,23,
4190,1,4285,1710720,4284,0,4301,18,
4301,1,4385,1710520,4384,0,4396,26,
4397,1,4487,1710520,4485,0,4505,20,
4506,1,4586,1710576,4586,0,4594,27,
4594,1,4687,1710576,4686,0,4703,23,
4703,1,4789,1710732,4788,0,4803,21,
4803,1,4889,1710732,4888,0,4901,23,
4902,1,4990,1710732,4988,0,5004,22,
5004,1,5089,1710420,5088,0,5103,26,
5104,1,5193,1710476,5189,0,5201,28,
5201,1,5296,1709532,5294,0,5316,34,
5316,1,5393,1709576,5391,0,5421,73,
5421,1,5496,1710756,5494,0,5505,90,
5505,1,5597,1711104,5595,0,5604,76,
5605,1,5698,1711448,5696,0,5718,77,
5718,1,5797,1711576,5796,0,5803,76,
5804,1,5898,1711632,5897,0,5907,78,
5910,1,5999,1711888,5997,0,6006,76,
6006,1,6104,1711792,6103,0,6117,64,
6118,1,6205,1712204,6204,0,6217,53,
