App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 01:00:05 PM","20 min 3 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
12,0,1,1731276,0,0,12,0,
107,0,102,1726812,101,0,107,15,
159,0,152,1726812,151,0,159,0,
259,0,252,1726960,251,0,258,4,
360,0,353,1727012,352,0,359,1,
460,0,453,1727072,452,0,460,3,
558,0,553,1725812,553,0,558,2,
664,0,655,1725868,654,0,663,3,
769,0,755,1725780,754,0,769,6,
863,0,856,1725780,855,0,863,4,
964,0,957,1725184,956,0,964,3,
1066,0,1057,1725132,1056,0,1065,6,
1166,0,1159,1725184,1157,0,1166,4,
1267,0,1260,1725264,1258,0,1267,3,
1368,0,1360,1725316,1359,0,1368,1,
1470,0,1461,1725316,1460,0,1470,3,
1572,0,1565,1725044,1561,0,1571,8,
1671,0,1662,1725104,1661,0,1670,1,
1771,0,1763,1725104,1762,0,1771,1,
1873,0,1864,1725328,1863,0,1872,13,
1969,0,1964,1726120,1963,0,1969,27,
2070,0,2065,1726360,2064,0,2069,25,
2171,0,2166,1726716,2165,0,2171,29,
2272,0,2266,1726856,2265,0,2272,27,
2371,0,2366,1726888,2366,0,2371,32,
2472,0,2467,1727008,2466,0,2471,25,
2572,0,2567,1727360,2566,0,2572,27,
2674,0,2669,1727480,2668,0,2674,31,
2773,0,2768,1727704,2767,0,2772,27,
2875,0,2869,1728744,2868,0,2874,30,
2986,0,2970,1728700,2969,0,2985,36,
3078,0,3070,1724704,3069,0,3077,61,
3179,0,3172,1724392,3170,0,3179,7,
3284,0,3274,1724260,3272,0,3284,35,
3306,1,3373,1724800,3372,0,3389,62,
3389,1,3473,1725080,3472,0,3488,77,
3488,1,3574,1723880,3573,0,3584,50,
3585,1,3675,1723940,3674,0,3686,28,
3686,1,3777,1723992,3775,0,3788,29,
3788,1,3883,1724044,3877,0,3891,24,
3891,1,3981,1723636,3977,0,3989,39,
3989,1,4080,1723636,4078,0,4088,21,
4089,1,4183,1723648,4180,0,4189,20,
