App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 09:52:32 PM","57 min 32 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
18,0,1,1778724,0,0,17,0,
57,0,49,1778800,48,0,57,44,
158,0,153,1778924,152,0,158,4,
261,0,254,1779036,253,0,260,3,
362,0,355,1779276,353,0,361,3,
462,0,455,1779448,454,0,462,3,
565,0,556,1779688,555,0,564,3,
664,0,657,1779720,656,0,664,7,
764,0,758,1779776,757,0,764,4,
866,0,859,1779832,857,0,865,0,
970,0,960,1779892,958,0,970,3,
1068,0,1060,1779932,1059,0,1067,3,
1169,0,1161,1779984,1160,0,1168,4,
1270,0,1262,1780036,1261,0,1270,1,
1367,0,1363,1779680,1361,0,1367,8,
1470,0,1464,1779680,1463,0,1470,4,
1571,0,1564,1779680,1563,0,1571,1,
1672,0,1665,1779792,1664,0,1671,4,
1773,0,1766,1779876,1765,0,1772,0,
1878,0,1867,1779876,1866,0,1878,4,
1977,0,1967,1780792,1966,0,1977,23,
2074,0,2068,1781188,2067,0,2074,29,
2173,0,2168,1781320,2167,0,2173,30,
2273,0,2269,1781488,2268,0,2273,27,
2374,0,2369,1781772,2368,0,2374,31,
2475,0,2470,1781828,2469,0,2474,27,
2575,0,2570,1782280,2570,0,2575,27,
2676,0,2671,1782340,2670,0,2676,30,
2777,0,2772,1782460,2771,0,2777,27,
2879,0,2872,1782884,2871,0,2879,30,
2980,0,2973,1783728,2972,0,2980,31,
3088,0,3074,1779472,3073,0,3087,65,
3113,1,3175,1779524,3173,0,3187,24,
3187,1,3276,1779524,3274,0,3297,7,
3298,1,3375,1779580,3375,0,3385,32,
3385,1,3475,1779752,3475,0,3483,43,
3484,1,3576,1779812,3575,0,3587,20,
3588,1,3679,1779864,3677,0,3695,18,
3695,1,3780,1779708,3778,0,3790,33,
3790,1,3882,1779768,3879,0,3894,21,
3894,1,3982,1779700,3980,0,3994,22,
3994,1,4083,1779728,4081,0,4091,24,
4091,1,4184,1779788,4181,0,4191,19,
4191,1,4287,1779848,4284,0,4295,26,
4295,1,4387,1779848,4384,0,4394,22,
4394,1,4486,1779900,4484,0,4499,21,
4499,1,4587,1779648,4585,0,4593,31,
4593,1,4687,1779704,4685,0,4701,26,
4701,1,4788,1779704,4786,0,4800,20,
4800,1,4888,1779764,4887,0,4902,26,
4903,1,4988,1779824,4987,0,4993,20,
4993,1,5089,1779824,5087,0,5111,26,
5111,1,5188,1779984,5187,0,5200,44,
5200,1,5291,1780936,5290,0,5299,56,
5299,1,5390,1780952,5390,0,5395,62,
5395,1,5491,1780908,5490,0,5499,48,
5500,1,5591,1780576,5590,0,5600,68,
5601,1,5693,1781324,5691,0,5705,75,
5705,1,5792,1781856,5791,0,5806,76,
5806,1,5892,1782552,5891,0,5904,72,
5904,1,5993,1782876,5992,0,6007,49,
6007,1,6094,1782892,6093,0,6108,55,
6108,1,6200,1782600,6193,0,6207,57,
6207,1,6295,1782444,6294,0,6307,50,
6308,1,6399,1782916,6395,0,6407,52,
6408,1,6496,1782916,6495,0,6506,50,
6507,1,6600,1782816,6596,0,6608,53,
6608,1,6699,1783184,6697,0,6708,53,
6708,1,6802,1784548,6800,0,6809,53,
6809,1,6902,1785044,6900,0,6910,43,
6911,1,7002,1785088,7001,0,7011,40,
7011,1,7103,1785272,7101,0,7111,29,
7111,1,7203,1784140,7202,0,7212,35,
7213,1,7305,1782132,7304,0,7311,33,
7312,1,7405,1782132,7404,0,7410,20,
7410,1,7507,1782032,7506,0,7542,49,
7542,1,7606,1783412,7605,0,7614,100,
7615,1,7707,1784304,7706,0,7737,97,
7737,1,7810,1784896,7807,0,7819,73,
7819,1,7911,1784964,7907,0,7921,49,
7922,1,8009,1785008,8008,0,8022,71,
8022,1,8111,1783308,8109,0,8126,70,
8126,1,8211,1783308,8210,0,8220,40,
8220,1,8311,1783308,8310,0,8323,11,
8323,1,8414,1783364,8411,0,8426,19,
8427,1,8516,1783364,8513,0,8536,15,
8536,1,8622,1783372,8613,0,8634,17,
8634,1,8714,1783432,8714,0,8722,5,
8723,1,8815,1783488,8814,0,8822,3,
8822,1,8915,1783548,8915,0,8920,3,
8920,1,9019,1783716,9018,0,9032,29,
9033,1,9120,1783004,9119,0,9126,23,
9127,1,9220,1783056,9219,0,9229,4,
9229,1,9321,1783108,9320,0,9331,3,
9332,1,9428,1782732,9422,0,9433,9,
9433,1,9522,1782732,9521,0,9534,2,
9534,1,9624,1782740,9623,0,9632,2,
9633,1,9724,1782740,9723,0,9731,3,
9732,1,9825,1782740,9824,0,9835,3,
9835,1,9927,1782796,9925,0,9941,16,
9941,1,10027,1783744,10026,0,10037,40,
10037,1,10128,1783868,10127,0,10139,38,
10139,1,10227,1783840,10227,0,10234,45,
10235,1,10328,1782748,10327,0,10335,38,
10335,1,10429,1782804,10428,0,10434,36,
10434,1,10530,1783032,10529,0,10535,29,
10535,1,10630,1783200,10629,0,10635,27,
10635,1,10730,1783628,10729,0,10735,30,
10735,1,10831,1783628,10830,0,10836,30,
10837,1,10931,1783876,10930,0,10938,27,
10938,1,11033,1784784,11032,0,11038,30,
11039,1,11132,1785204,11131,0,11137,30,
11138,1,11233,1786776,11232,0,11240,33,
11240,1,11335,1783520,11333,0,11347,76,
11347,1,11434,1784512,11433,0,11442,58,
11442,1,11535,1786992,11534,0,11545,51,
11545,1,11635,1790464,11634,0,11642,43,
11642,1,11737,1791064,11735,0,11746,57,
11746,1,11837,1794660,11835,0,11843,60,
11843,1,11936,1795404,11936,0,11941,46,
11942,1,12037,1796856,12037,0,12042,25,
12042,1,12137,1797104,12136,0,12142,32,
12143,1,12238,1798592,12237,0,12243,27,
12244,1,12338,1799584,12337,0,12345,32,
12345,1,12438,1800460,12438,0,12444,49,
12445,1,12539,1801948,12538,0,12556,50,
12556,1,12641,1802640,12639,0,12651,77,
12651,1,12741,1805316,12741,0,12748,89,
12749,1,12842,1804932,12841,0,12847,56,
12847,1,12942,1804932,12941,0,12947,17,
12948,1,13043,1804940,13042,0,13052,12,
13052,1,13142,1805072,13142,0,13147,11,
