App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 03:16:16 PM","1 min 36 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
8,0,1,1813364,0,0,7,6,
106,0,101,1810256,100,0,106,40,
159,0,152,1810256,151,0,159,3,
260,0,253,1810256,252,0,259,3,
360,0,353,1810380,352,0,360,3,
462,0,454,1810380,453,0,461,4,
561,0,555,1810276,553,0,561,3,
663,0,656,1810276,654,0,662,4,
771,0,758,1810260,755,0,771,3,
864,0,857,1810320,856,0,864,4,
966,0,958,1810320,957,0,965,3,
1070,0,1059,1810444,1057,0,1070,1,
1167,0,1160,1810460,1158,0,1166,17,
1267,0,1260,1810460,1259,0,1267,3,
1368,0,1361,1810460,1360,0,1367,3,
1469,0,1462,1810460,1461,0,1469,0,
1573,0,1563,1810460,1562,0,1572,3,
1670,0,1663,1810460,1662,0,1670,3,
1773,0,1764,1810452,1763,0,1772,3,
1872,0,1864,1810376,1863,0,1871,20,
1970,0,1965,1810996,1964,0,1970,27,
2071,0,2065,1811120,2064,0,2070,27,
2171,0,2166,1811492,2165,0,2171,30,
2272,0,2267,1811616,2266,0,2272,29,
2372,0,2367,1811740,2366,0,2372,30,
2475,0,2467,1811864,2466,0,2475,27,
2574,0,2569,1812112,2566,0,2573,34,
2673,0,2668,1812236,2667,0,2673,25,
2780,0,2771,1812592,2769,0,2780,29,
2877,0,2870,1813584,2868,0,2876,27,
2978,0,2970,1811832,2969,0,2978,38,
3066,1,3070,1809600,3069,0,3076,66,
3076,1,3172,1809600,3171,0,3181,8,
3182,1,3273,1809460,3271,0,3281,32,
3281,1,3375,1809516,3373,0,3391,31,
3392,1,3476,1809688,3474,0,3483,48,
3483,1,3577,1809688,3576,0,3587,27,
3592,1,3677,1809688,3676,0,3685,21,
3685,1,3778,1809784,3777,0,3786,21,
3787,1,3880,1809768,3878,0,3895,22,
3896,1,3980,1809452,3979,0,3988,29,
3988,1,4081,1809452,4080,0,4086,20,
4087,1,4183,1809452,4181,0,4197,19,
4198,1,4282,1809452,4281,0,4292,25,
4293,1,4383,1809504,4381,0,4397,24,
4397,1,4483,1809560,4481,0,4494,23,
4494,1,4583,1809560,4582,0,4596,22,
4597,1,4683,1809580,4682,0,4691,22,
4691,1,4785,1809620,4784,0,4809,19,
4809,1,4885,1809620,4884,0,4900,26,
4901,1,4986,1806712,4985,0,4996,20,
4996,1,5087,1806884,5085,0,5103,26,
5104,1,5186,1807108,5185,0,5200,46,
5200,1,5287,1808140,5286,0,5302,69,
5303,1,5390,1807844,5387,0,5401,58,
5401,1,5488,1807904,5487,0,5499,46,
5499,1,5592,1808656,5588,0,5602,70,
5602,1,5693,1808656,5691,0,5701,76,
5701,1,5794,1808568,5792,0,5801,77,
5801,1,5894,1808628,5892,0,5901,61,
5901,1,5994,1808752,5993,0,6002,46,
6003,1,6095,1808884,6094,0,6103,54,
6103,1,6196,1808884,6194,0,6202,50,
6202,1,6297,1809008,6296,0,6303,46,
6303,1,6397,1809256,6396,0,6402,44,
6403,1,6498,1809100,6497,0,6503,47,
6503,1,6598,1809276,6597,0,6604,49,
6604,1,6699,1809896,6698,0,6708,42,
6710,1,6800,1810496,6799,0,6805,56,
6805,1,6901,1810868,6900,0,6913,34,
6913,1,7001,1810992,7000,0,7010,36,
7010,1,7101,1811116,7101,0,7113,35,
7114,1,7203,1807948,7203,0,7212,42,
7213,1,7306,1808196,7304,0,7319,21,
7319,1,7408,1808196,7404,0,7430,21,
7430,1,7510,1807980,7509,0,7547,82,
7547,1,7610,1808624,7609,0,7628,100,
7628,1,7711,1809292,7710,0,7743,100,
7744,1,7814,1809932,7812,0,7833,97,
7833,1,7915,1810800,7913,0,7934,100,
7935,1,8014,1809288,8013,0,8022,85,
8022,1,8115,1810876,8114,0,8145,83,
8145,1,8216,1807388,8214,0,8220,54,
8221,1,8315,1807692,8315,0,8325,31,
8325,1,8416,1807692,8415,0,8430,12,
8430,1,8517,1807692,8516,0,8527,15,
8527,1,8618,1807692,8617,0,8626,8,
8627,1,8719,1807756,8718,0,8731,3,
8731,1,8820,1808204,8819,0,8829,1,
8830,1,8921,1808264,8920,0,8928,8,
8928,1,9021,1808264,9020,0,9028,3,
9029,1,9123,1808388,9123,0,9129,21,
9129,1,9227,1808388,9224,0,9236,10,
9237,1,9326,1808388,9324,0,9332,6,
9332,1,9427,1808388,9425,0,9434,0,
9434,1,9527,1808388,9526,0,9539,4,
9540,1,9627,1808460,9626,0,9632,7,
9632,1,9729,1808460,9727,0,9735,5,
9736,1,9830,1808416,9829,0,9837,3,
9837,1,9930,1809384,9929,0,9936,31,
9937,1,10030,1809880,10029,0,10035,38,
10035,1,10131,1808968,10130,0,10136,36,
10136,1,10231,1809196,10231,0,10238,36,
10238,1,10332,1808400,10331,0,10338,42,
10338,1,10433,1808636,10432,0,10442,36,
10442,1,10533,1808876,10533,0,10538,32,
10539,1,10634,1809416,10633,0,10639,32,
10639,1,10736,1809388,10734,0,10741,27,
10741,1,10835,1809676,10834,0,10841,25,
10841,1,10936,1810668,10935,0,10946,29,
10946,1,11037,1811632,11036,0,11043,36,
11043,1,11137,1812896,11136,0,11143,30,
11144,1,11237,1809668,11236,0,11247,55,
11247,1,11338,1810740,11337,0,11348,59,
11348,1,11438,1811092,11437,0,11444,30,
11444,1,11538,1813240,11537,0,11547,22,
11547,1,11638,1813364,11638,0,11645,31,
11645,1,11739,1813616,11738,0,11744,36,
11745,1,11840,1815944,11839,0,11844,30,
11845,1,11939,1816316,11939,0,11944,18,
11944,1,12040,1818796,12039,0,12045,15,
12045,1,12140,1825120,12139,0,12146,21,
12146,1,12241,1827476,12240,0,12246,38,
12246,1,12341,1831196,12340,0,12348,44,
12349,1,12442,1832932,12441,0,12448,39,
12448,1,12542,1841116,12541,0,12553,63,
12553,1,12642,1846104,12641,0,12651,72,
12651,1,12743,1857792,12742,0,12751,55,
12751,1,12844,1860432,12843,0,12869,86,
12870,1,12947,1862436,12945,0,12963,100,
12966,1,13046,1864920,13045,0,13058,97,
13060,1,13147,1867236,13146,0,13157,90,
13157,1,13248,1871964,13247,0,13258,87,
13259,1,13348,1873644,13347,0,13354,69,
13354,1,13448,1875244,13447,0,13453,50,
13453,1,13549,1876380,13548,0,13555,60,
13555,1,13649,1879236,13648,0,13658,64,
13659,1,13750,1882460,13749,0,13759,73,
13759,1,13850,1886680,13849,0,13856,61,
13856,1,13950,1888500,13950,0,13957,62,
13957,1,14050,1890572,14050,0,14055,59,
14056,1,14151,1874652,14150,0,14164,80,
14164,1,14253,1866104,14252,0,14263,61,
14263,1,14303,1867244,14302,0,14313,61,
14314,1,14403,1870344,14403,0,14414,60,
14414,1,14504,1871516,14503,0,14516,63,
14516,1,14604,1873004,14603,0,14612,63,
14613,1,14704,1875728,14703,0,14713,70,
14713,1,14805,1876496,14804,0,14812,71,
14812,1,14906,1883140,14904,0,14913,63,
14914,1,15007,1885352,15006,0,15015,64,
15016,1,15106,1886592,15105,0,15116,66,
15117,1,15209,1889896,15207,0,15219,70,
15220,1,15308,1889392,15307,0,15317,62,
15317,1,15413,1888292,15408,0,15421,43,
15422,1,15510,1888392,15508,0,15517,44,
15517,1,15610,1885488,15609,0,15620,46,
15620,1,15710,1875904,15710,0,15717,39,
15717,1,15811,1876104,15810,0,15821,37,
15821,1,15912,1876404,15911,0,15917,36,
15918,1,16013,1876288,16012,0,16019,36,
16019,1,16113,1877032,16112,0,16118,32,
16118,1,16214,1877900,16213,0,16219,32,
16220,1,16314,1878396,16313,0,16320,32,
16320,1,16414,1879512,16413,0,16421,35,
16421,1,16515,1880812,16514,0,16524,36,
16524,1,16616,1880668,16615,0,16622,35,
16622,1,16716,1881696,16716,0,16724,59,
16724,1,16817,1882144,16816,0,16824,41,
16825,1,16917,1882392,16916,0,16923,39,
16924,1,17018,1882416,17017,0,17025,38,
17026,1,17119,1882516,17118,0,17125,34,
17125,1,17219,1882640,17218,0,17228,41,
17228,1,17320,1883260,17319,0,17327,49,
17328,1,17420,1883260,17420,0,17427,34,
17428,1,17520,1883864,17520,0,17526,44,
17527,1,17623,1883864,17622,0,17627,32,
17628,1,17723,1883804,17721,0,17730,39,
17730,1,17823,1890620,17822,0,17829,65,
17830,1,17924,1891640,17923,0,17931,68,
17932,1,18025,1867384,18024,0,18031,69,
18032,1,18125,1867796,18124,0,18130,36,
18130,1,18225,1869448,18225,0,18232,35,
18233,1,18327,1868600,18326,0,18332,37,
18333,1,18427,1868704,18426,0,18434,35,
18435,1,18528,1869024,18527,0,18543,55,
18543,1,18630,1878208,18629,0,18641,93,
18641,1,18730,1886172,18730,0,18739,76,
18739,1,18831,1887168,18830,0,18843,63,
18843,1,18932,1887192,18931,0,18937,56,
18937,1,19033,1887192,19032,0,19039,29,
19040,1,19134,1887960,19133,0,19146,6,
19146,1,19236,1887960,19233,0,19248,4,
19248,1,19336,1887960,19334,0,19344,8,
19344,1,19439,1887164,19435,0,19443,9,
19444,1,19537,1887164,19536,0,19542,6,
19542,1,19638,1887348,19637,0,19645,2,
19645,1,19739,1887228,19738,0,19746,3,
19746,1,19840,1887228,19839,0,19847,4,
19847,1,19941,1887352,19939,0,19947,1,
19948,1,20044,1880824,20042,0,20057,3,
20057,1,20143,1880884,20142,0,20153,10,
20154,1,20244,1881564,20242,0,20256,31,
20256,1,20345,1881688,20343,0,20360,21,
20361,1,20446,1881588,20445,0,20451,14,
20451,1,20548,1876228,20547,0,20556,3,
20557,1,20649,1876228,20648,0,20656,1,
20657,1,20751,1876128,20750,0,20764,6,
20764,1,20850,1875836,20849,0,20856,5,
20856,1,20951,1875836,20950,0,20959,4,
20959,1,21052,1875836,21051,0,21059,4,
21059,1,21153,1875836,21151,0,21160,2,
21160,1,21254,1875896,21253,0,21261,5,
21261,1,21357,1876540,21354,0,21364,6,
21364,1,21454,1876008,21454,0,21462,27,
21462,1,21555,1875624,21554,0,21560,21,
21561,1,21657,1875684,21656,0,21664,5,
21664,1,21758,1875560,21756,0,21764,6,
21765,1,21858,1875616,21857,0,21865,1,
21865,1,21958,1876408,21957,0,21963,13,
21964,1,22058,1876936,22057,0,22065,27,
22065,1,22164,1877952,22161,0,22181,42,
22181,1,22263,1888128,22262,0,22269,74,
22269,1,22365,1889632,22362,0,22382,71,
22382,1,22465,1890380,22463,0,22493,83,
22493,1,22566,1891392,22565,0,22583,88,
22583,1,22666,1891772,22665,0,22674,51,
22674,1,22767,1891928,22766,0,22778,46,
22778,1,22867,1897764,22866,0,22875,75,
22876,1,22969,1894028,22967,0,22978,63,
22978,1,23069,1895224,23068,0,23093,84,
23093,1,23175,1888848,23171,0,23194,91,
23194,1,23277,1894348,23275,0,23291,87,
23292,1,23374,1906872,23373,0,23385,63,
23385,1,23474,1906356,23473,0,23511,71,
23518,1,23575,1898660,23574,0,23591,89,
23592,1,23679,1903788,23675,0,23684,61,
23685,1,23776,1904428,23775,0,23785,51,
23785,1,23877,1894708,23876,0,23886,58,
23886,1,23977,1895564,23976,0,23984,52,
23985,1,24080,1895564,24078,0,24093,6,
24093,1,24179,1895564,24178,0,24186,3,
24186,1,24280,1895564,24279,0,24286,6,
24286,1,24380,1892784,24379,0,24385,24,
24385,1,24481,1892844,24480,0,24488,32,
24488,1,24582,1893380,24581,0,24590,71,
24590,1,24683,1893380,24682,0,24701,63,
24701,1,24784,1894544,24782,0,24811,81,
24811,1,24885,1898824,24884,0,24894,82,
24894,1,24985,1899848,24984,0,24997,64,
24997,1,25089,1899920,25085,0,25102,57,
25102,1,25186,1897204,25185,0,25196,64,
25196,1,25291,1896832,25289,0,25302,50,
25303,1,25390,1896824,25389,0,25395,64,
25396,1,25491,1896624,25489,0,25499,20,
25499,1,25591,1896680,25590,0,25599,5,
25599,1,25692,1896680,25691,0,25701,5,
25701,1,25792,1896376,25791,0,25799,7,
25800,1,25893,1896376,25891,0,25899,5,
25900,1,25992,1896436,25991,0,25996,8,
25996,1,26093,1896372,26092,0,26100,3,
26100,1,26194,1896432,26192,0,26209,6,
26210,1,26294,1885068,26293,0,26301,13,
26301,1,26394,1885124,26393,0,26404,5,
26405,1,26494,1884696,26493,0,26499,16,
26499,1,26595,1884756,26594,0,26602,6,
26602,1,26696,1884756,26694,0,26702,5,
26702,1,26796,1884816,26795,0,26802,7,
26803,1,26896,1884816,26895,0,26902,6,
26903,1,26996,1884876,26995,0,27003,8,
27003,1,27047,1884688,27046,0,27055,8,
27055,1,27147,1884660,27146,0,27153,9,
27154,1,27247,1884040,27246,0,27258,7,
27259,1,27348,1884092,27347,0,27356,7,
27357,1,27448,1884272,27447,0,27455,7,
27455,1,27548,1884392,27547,0,27554,7,
27555,1,27649,1884392,27647,0,27661,5,
27661,1,27749,1884380,27748,0,27761,9,
27762,1,27849,1883944,27848,0,27853,15,
27854,1,27949,1883944,27948,0,27954,9,
27954,1,28050,1883996,28049,0,28058,4,
28058,1,28150,1884056,28149,0,28161,6,
28161,1,28250,1884112,28249,0,28261,7,
28261,1,28351,1884112,28350,0,28361,4,
28362,1,28451,1884164,28450,0,28463,6,
28463,1,28551,1883956,28550,0,28558,9,
28558,1,28652,1884012,28650,0,28660,9,
28660,1,28752,1884088,28751,0,28761,4,
28762,1,28852,1884112,28851,0,28861,7,
28861,1,28953,1884172,28951,0,28962,8,
28962,1,29053,1884232,29052,0,29062,6,
29062,1,29153,1884232,29151,0,29164,7,
29164,1,29256,1883796,29252,0,29260,16,
29261,1,29353,1883796,29352,0,29360,8,
29360,1,29454,1883856,29453,0,29462,5,
29463,1,29554,1883916,29553,0,29562,6,
29563,1,29655,1883976,29653,0,29666,6,
29667,1,29756,1883996,29754,0,29763,9,
29763,1,29854,1883996,29854,0,29863,5,
29864,1,29955,1883908,29954,0,29961,15,
29961,1,30056,1883968,30055,0,30064,7,
30064,1,30156,1860336,30155,0,30162,9,
30162,1,30257,1860336,30256,0,30264,5,
30265,1,30358,1860396,30356,0,30364,10,
30364,1,30456,1860396,30456,0,30461,5,
30461,1,30558,1860520,30556,0,30570,8,
30572,1,30657,1860116,30656,0,30662,15,
30662,1,30759,1859988,30757,0,30765,7,
30766,1,30859,1859976,30858,0,30865,6,
30866,1,30959,1860036,30958,0,30966,6,
30966,1,31060,1860096,31059,0,31066,6,
31067,1,31160,1860156,31159,0,31167,4,
31167,1,31261,1860156,31259,0,31274,8,
31275,1,31361,1859956,31359,0,31367,9,
31367,1,31462,1859956,31460,0,31470,7,
31470,1,31562,1860016,31560,0,31568,7,
31569,1,31662,1860076,31661,0,31669,5,
31669,1,31762,1860128,31761,0,31769,6,
31769,1,31863,1860128,31862,0,31870,6,
31870,1,31963,1860312,31962,0,31978,5,
31979,1,32066,1860032,32063,0,32075,14,
32076,1,32163,1860032,32162,0,32170,7,
