App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 06:11:05 PM","15 min 34 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
4,0,0,1624212,0,0,4,0,
53,0,50,1623812,50,0,53,22,
153,0,151,1621148,150,0,153,12,
253,0,251,1621092,251,0,253,3,
359,0,353,1621092,351,0,359,2,
465,0,455,1621092,454,0,464,3,
577,0,558,1621216,555,0,576,1,
657,0,654,1620516,653,0,657,2,
768,0,758,1620520,756,0,767,1,
896,0,870,1620644,861,0,896,1,
957,0,955,1620768,955,0,957,6,
1057,0,1056,1620768,1055,0,1057,2,
1164,0,1158,1620768,1156,0,1163,0,
1287,0,1268,1620768,1260,0,1286,2,
1373,0,1363,1620892,1359,0,1372,0,
1475,0,1463,1620892,1459,0,1474,2,
1573,0,1563,1620892,1560,0,1572,1,
1702,0,1684,1620892,1672,0,1699,1,
1762,0,1760,1620892,1759,0,1762,5,
1862,0,1860,1620996,1860,0,1862,4,
1968,0,1960,1620996,1960,0,1967,2,
2076,0,2065,1620996,2063,0,2075,1,
2201,0,2165,1620996,2163,0,2197,0,
2277,0,2265,1620996,2264,0,2276,1,
2378,0,2367,1621120,2365,0,2377,1,
2506,0,2482,1621120,2479,0,2504,1,
2592,0,2569,1621292,2567,0,2581,1,
2667,0,2666,1621804,2666,0,2667,17,
2768,0,2766,1622268,2766,0,2768,25,
2868,0,2866,1622764,2866,0,2868,24,
2969,0,2967,1623012,2966,0,2969,22,
3071,0,3068,1623260,3067,0,3071,25,
3172,0,3168,1623932,3167,0,3172,26,
3273,0,3269,1625492,3269,0,3273,27,
3354,1,3371,1634572,3370,0,3375,31,
3375,1,3471,1632284,3470,0,3474,2,
3474,1,3571,1632284,3570,0,3576,7,
3576,1,3672,1632164,3671,0,3675,9,
3675,1,3772,1632020,3771,0,3778,10,
3779,1,3872,1632020,3872,0,3879,9,
3879,1,3972,1632020,3972,0,3978,6,
3978,1,4073,1632020,4072,0,4078,7,
4079,1,4173,1632020,4173,0,4181,9,
4181,1,4274,1631944,4273,0,4277,8,
4277,1,4374,1631944,4373,0,4377,5,
4377,1,4474,1631944,4474,0,4478,5,
4478,1,4575,1631944,4574,0,4578,6,
4578,1,4675,1631944,4674,9,4678,9,
4678,1,4775,1631944,4775,9,4778,6,
4778,1,4876,1631944,4875,9,4879,5,
4880,1,4976,1631312,4975,9,4979,12,
4979,1,5076,1621156,5076,9,5080,9,
5080,1,5177,1621340,5176,9,5180,13,
5180,1,5277,1621344,5276,9,5280,9,
5281,1,5378,1621468,5377,9,5381,5,
5382,1,5478,1621684,5478,9,5482,13,
5482,1,5579,1622108,5579,9,5582,19,
5583,1,5680,1622580,5679,7,5682,27,
5682,1,5780,1622948,5779,7,5782,29,
5782,1,5880,1623192,5880,7,5882,30,
5882,1,5981,1623652,5980,7,5983,28,
5983,1,6081,1623776,6080,7,6083,30,
6083,1,6181,1625060,6181,7,6183,30,
6183,1,6282,1625916,6281,7,6284,15,
6284,1,6383,1626280,6382,7,6386,16,
6387,1,6483,1626776,6482,7,6487,14,
6488,1,6583,1627144,6582,7,6587,13,
6588,1,6683,1627712,6683,25,6688,7,
6688,1,6784,1624812,6783,25,6788,11,
6788,1,6884,1624812,6883,25,6888,11,
6888,1,6985,1624812,6984,25,6988,10,
6992,1,7085,1625436,7084,25,7090,23,
7090,1,7186,1628592,7185,25,7193,67,
7193,1,7286,1628772,7286,25,7289,51,
7289,1,7386,1629116,7386,25,7391,20,
7391,1,7488,1627620,7486,25,7497,15,
7497,1,7587,1626180,7587,25,7591,7,
7591,1,7688,1626108,7687,0,7692,1,
7692,1,7789,1626108,7788,0,7793,2,
7793,1,7889,1626108,7888,0,7893,2,
7893,1,7989,1626108,7988,0,7993,3,
7993,1,8089,1626232,8088,0,8093,1,
8093,1,8189,1626356,8188,0,8193,2,
8193,1,8290,1626464,8289,0,8293,4,
8293,1,8390,1626588,8389,0,8394,1,
8394,1,8490,1626712,8489,0,8494,4,
8494,1,8590,1626836,8590,0,8594,4,
8594,1,8691,1626960,8690,0,8694,2,
8695,1,8792,1627084,8790,0,8795,2,
8796,1,8892,1627208,8891,0,8895,2,
8896,1,8992,1627332,8991,0,8995,3,
8995,1,9092,1627456,9092,0,9098,2,
9099,1,9192,1626404,9192,0,9195,11,
9196,1,9292,1626404,9292,0,9297,2,
9297,1,9393,1626384,9392,0,9396,1,
9396,1,9493,1626384,9492,0,9496,1,
9496,1,9630,1626152,9621,0,9658,3,
9658,1,9694,1626072,9693,0,9695,5,
9695,1,9794,1626072,9794,0,9796,0,
9796,1,9894,1626072,9894,0,9896,0,
9896,1,9994,1626072,9994,0,9996,0,
9996,1,10107,1626072,10103,0,10118,5,
10119,1,10200,1626072,10198,0,10208,0,
10209,1,10296,1626072,10295,0,10297,6,
10298,1,10396,1626072,10396,0,10398,2,
10398,1,10498,1626072,10497,0,10503,2,
10504,1,10609,1626072,10599,0,10629,2,
10631,1,10697,1626384,10697,0,10699,25,
10699,1,10797,1626876,10797,0,10800,25,
10800,1,10898,1627372,10897,0,10900,19,
