App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 02:02:08 PM","20 min 4 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
4,0,0,1658828,0,0,4,11,
183,0,180,1658672,180,0,183,11,
233,0,231,1658672,230,0,233,0,
333,0,331,1655836,330,0,333,4,
434,0,431,1655960,431,0,434,0,
534,0,531,1656084,531,0,534,0,
638,0,632,1656208,632,0,637,1,
737,0,732,1656332,732,0,736,3,
837,0,833,1656444,832,0,836,1,
937,0,933,1656692,932,0,937,0,
1038,0,1033,1657032,1032,0,1038,4,
1137,0,1133,1657280,1133,0,1137,0,
1237,0,1233,1657404,1233,0,1237,0,
1338,0,1334,1657192,1333,0,1338,2,
1451,0,1438,1657236,1436,0,1450,1,
1566,0,1547,1657360,1539,0,1563,1,
1637,0,1635,1657484,1635,0,1637,4,
1737,0,1735,1657484,1735,0,1737,2,
1838,0,1836,1657608,1835,0,1837,0,
1938,0,1936,1657732,1935,0,1937,0,
2038,0,2036,1657856,2035,0,2038,0,
2165,0,2144,1657980,2138,0,2164,5,
2238,0,2237,1658104,2236,0,2238,4,
2339,0,2337,1658228,2336,0,2339,4,
2470,0,2437,1658352,2437,0,2454,3,
2539,0,2537,1657892,2537,0,2539,9,
2639,0,2638,1658112,2637,0,2639,19,
2740,0,2738,1658732,2737,0,2740,17,
2841,0,2838,1658980,2838,0,2841,23,
2943,0,2939,1659104,2938,0,2943,24,
3051,0,3041,1659476,3039,0,3051,22,
3143,0,3139,1659848,3139,0,3143,23,
3243,0,3240,1661472,3239,0,3243,22,
3347,0,3340,1662688,3340,0,3347,28,
3355,1,3440,1664600,3440,0,3443,9,
3443,1,3540,1661900,3540,0,3543,7,
3543,1,3641,1661572,3641,0,3645,12,
3646,1,3742,1661572,3741,0,3746,3,
3746,1,3842,1661472,3842,0,3847,10,
3847,1,3943,1661472,3941,0,3946,10,
3946,1,4043,1661348,4042,0,4047,8,
4047,1,4144,1661472,4143,0,4148,8,
4149,1,4244,1661348,4243,0,4248,3,
4248,1,4345,1661472,4344,0,4348,7,
4348,1,4446,1661348,4445,0,4450,8,
4451,1,4547,1661472,4546,0,4552,6,
4552,1,4648,1661472,4647,7,4652,12,
4653,1,4748,1661596,4748,7,4753,9,
4753,1,4851,1661440,4850,7,4855,10,
4856,1,4950,1661440,4950,7,4954,6,
4954,1,5051,1661440,5050,7,5056,7,
5056,1,5151,1661440,5150,7,5155,8,
5155,1,5252,1661440,5251,7,5255,6,
5256,1,5352,1661448,5351,7,5355,3,
5356,1,5452,1661448,5451,7,5455,7,
5455,1,5552,1661968,5552,7,5561,12,
5561,1,5653,1662368,5652,9,5656,18,
5656,1,5753,1662616,5752,9,5756,22,
5756,1,5853,1662856,5852,9,5857,25,
5857,1,5953,1662980,5953,9,5956,27,
5956,1,6053,1663352,6053,9,6055,22,
6056,1,6154,1663352,6153,9,6156,26,
6156,1,6254,1663476,6253,9,6256,27,
6256,1,6354,1664596,6354,9,6356,17,
6356,1,6454,1665808,6454,9,6458,18,
6458,1,6555,1666228,6554,9,6557,12,
6558,1,6655,1666340,6655,14,6659,14,
6659,1,6756,1666764,6755,14,6759,13,
6760,1,6856,1667296,6855,14,6860,12,
6860,1,6956,1664016,6956,14,6960,11,
6960,1,7056,1664072,7056,14,7060,13,
7060,1,7157,1664072,7156,14,7160,9,
7161,1,7257,1663960,7257,14,7269,19,
7277,1,7360,1665640,7359,14,7371,39,
7371,1,7459,1666304,7458,14,7462,53,
7462,1,7559,1655768,7559,14,7563,24,
7564,1,7662,1656012,7661,45,7668,12,
7668,1,7765,1653488,7762,45,7782,15,
7782,1,7867,1653080,7864,45,7881,10,
7881,1,7966,1652872,7966,45,7971,10,
7971,1,8062,1652840,8062,45,8067,7,
8067,1,8162,1653048,8161,45,8167,3,
8167,1,8263,1653048,8262,45,8266,8,
8266,1,8371,1653172,8370,0,8376,3,
8377,1,8463,1653172,8463,0,8466,0,
8467,1,8565,1653296,8564,0,8571,0,
8571,1,8664,1653420,8663,0,8667,1,
8667,1,8764,1653544,8763,0,8768,0,
8768,1,8864,1653668,8864,0,8868,1,
8868,1,8965,1653792,8964,0,8968,0,
8968,1,9065,1653916,9064,0,9068,1,
9068,1,9165,1654040,9164,0,9168,0,
9169,1,9265,1654164,9265,0,9269,3,
9269,1,9366,1654288,9365,0,9369,3,
9369,1,9466,1654412,9465,0,9469,1,
9470,1,9567,1654536,9566,0,9570,3,
9571,1,9667,1654536,9666,0,9671,1,
9671,1,9767,1654536,9766,0,9775,1,
9776,1,9874,1654056,9871,0,9890,3,
9891,1,9977,1654140,9972,0,9993,2,
9994,1,10078,1654264,10072,0,10128,1,
10134,1,10170,1654264,10169,0,10171,9,
10172,1,10270,1654388,10269,0,10272,2,
10272,1,10377,1654512,10372,0,10386,2,
10387,1,10482,1654512,10474,0,10524,2,
10524,1,10572,1654636,10571,0,10573,7,
10574,1,10672,1654760,10671,0,10674,0,
10674,1,10774,1655084,10774,0,10776,8,
10776,1,10873,1655716,10872,0,10875,21,
10875,1,10980,1656088,10980,0,10983,18,
10983,1,11084,1656708,11082,0,11093,21,
11094,1,11182,1656956,11181,0,11185,22,
11186,1,11282,1657328,11281,0,11286,21,
11286,1,11382,1657948,11382,0,11386,23,
11387,1,11482,1659700,11482,0,11486,21,
11486,1,11586,1661988,11584,0,11591,27,
11591,1,11683,1649172,11682,0,11687,21,
11687,1,11783,1649684,11783,0,11787,22,
11787,1,11884,1656804,11883,0,11890,26,
11891,1,12034,1656316,12033,0,12041,4,
12041,1,12084,1656208,12084,0,12086,5,
12086,1,12185,1656068,12184,0,12186,8,
12187,1,12286,1656052,12285,0,12289,6,
12289,1,12445,1655920,12443,0,12449,6,
12449,1,12487,1655024,12486,0,12488,12,
12488,1,12587,1655024,12587,0,12589,2,
12589,1,12689,1655024,12688,0,12693,1,
12694,1,12792,1655024,12789,0,12818,2,
12824,1,12888,1654992,12888,0,12890,6,
12890,1,12989,1655116,12988,0,12991,3,
12991,1,13089,1655116,13088,0,13096,2,
13097,1,13194,1655116,13192,0,13207,1,
13208,1,13302,1655116,13294,0,13317,1,
13320,1,13391,1655116,13390,0,13393,4,
13393,1,13491,1655240,13491,0,13493,3,
13493,1,13591,1655240,13591,0,13593,0,
13593,1,13696,1655240,13693,0,13709,4,
13710,1,13812,1655220,13802,0,13825,1,
13828,1,13893,1655344,13893,0,13895,5,
13895,1,13994,1655344,13993,0,13995,0,
13995,1,14094,1655344,14093,0,14095,0,
14096,1,14198,1655344,14196,0,14205,1,
14206,1,14315,1655220,14309,0,14334,1,
14334,1,14396,1655316,14395,0,14397,7,
14397,1,14496,1655316,14496,0,14498,0,
14498,1,14599,1655284,14598,0,14609,4,
14609,1,14703,1655284,14701,0,14713,1,
14714,1,14828,1655280,14816,0,14854,1,
14854,1,14899,1655404,14898,0,14901,6,
14901,1,14999,1655404,14998,0,15001,2,
15001,1,15103,1655404,15100,0,15111,4,
15113,1,15220,1655404,15210,0,15229,1,
15230,1,15306,1655404,15303,0,15318,0,
15326,1,15401,1655404,15401,0,15403,7,
15403,1,15501,1655528,15501,0,15503,2,
15503,1,15606,1655528,15603,0,15616,3,
15617,1,15730,1655528,15724,0,15754,1,
15754,1,15804,1655528,15803,0,15806,5,
15806,1,15904,1655528,15904,0,15906,2,
15906,1,16008,1655652,16005,0,16017,4,
16018,1,16123,1655652,16120,0,16145,1,
16145,1,16205,1655652,16205,0,16207,3,
16207,1,16306,1655652,16305,0,16307,0,
16308,1,16406,1655652,16405,0,16408,0,
16408,1,16510,1655776,16508,0,16523,3,
16524,1,16611,1655776,16608,0,16644,1,
16658,1,16707,1655416,16707,0,16709,11,
16709,1,16808,1655520,16807,0,16810,4,
16810,1,16910,1655660,16909,0,16916,4,
16917,1,17021,1655784,17012,0,17040,2,
17041,1,17119,1655784,17113,0,17166,1,
17166,1,17210,1654508,17209,0,17211,17,
17211,1,17310,1654508,17310,0,17312,2,
17312,1,17412,1654508,17411,0,17420,0,
17420,1,17511,1655984,17511,0,17513,5,
17513,1,17611,1663044,17611,0,17615,21,
17615,1,17711,1652052,17711,0,17714,19,
17714,1,17812,1652052,17811,0,17815,0,
17815,1,17912,1652076,17912,0,17916,1,
17916,1,18013,1652076,18012,0,18016,0,
18017,1,18114,1651956,18113,0,18118,2,
18119,1,18166,1651080,18166,0,18172,0,
18172,1,18267,1651040,18266,0,18278,2,
18280,1,18391,1651040,18375,0,18405,2,
18406,1,18468,1651040,18468,0,18470,4,
18470,1,18568,1651040,18568,0,18570,1,
18571,1,18672,1651040,18670,0,18681,6,
18682,1,18798,1651040,18782,0,18812,1,
18818,1,18877,1651008,18873,0,18890,1,
18891,1,18977,1651008,18974,0,18991,1,
18992,1,19097,1651008,19089,0,19119,1,
19120,1,19178,1651008,19176,0,19191,1,
19192,1,19278,1651008,19276,0,19293,2,
19294,1,19387,1651132,19377,0,19403,1,
19406,1,19476,1651132,19476,0,19478,3,
19478,1,19576,1651132,19576,0,19578,0,
19578,1,19682,1651132,19678,0,19696,4,
19697,1,19782,1651132,19779,0,19792,1,
19792,1,19906,1651256,19902,0,19933,1,
19934,1,19980,1651256,19979,0,19981,7,
19982,1,20080,1651256,20079,0,20082,2,
20082,1,20183,1651256,20180,0,20190,1,
20191,1,20289,1651256,20282,0,20314,2,
20314,1,20381,1651380,20381,0,20383,5,
20383,1,20481,1651380,20481,0,20483,2,
20483,1,20592,1651380,20588,0,20601,4,
20602,1,20688,1651380,20686,0,20697,1,
20698,1,20804,1651380,20797,0,20826,1,
20834,1,20885,1651504,20885,0,20887,7,
20887,1,20985,1651504,20985,0,20987,1,
20987,1,21085,1651504,21085,0,21087,0,
21087,1,21189,1651504,21187,0,21196,4,
21196,1,21311,1651504,21302,0,21334,1,
21334,1,21387,1651628,21386,0,21389,3,
21389,1,21487,1651628,21487,0,21489,4,
21489,1,21605,1651744,21603,0,21620,5,
21621,1,21693,1651744,21690,0,21707,2,
21714,1,21789,1651744,21788,0,21791,4,
21791,1,21889,1651744,21889,0,21891,3,
21891,1,21995,1651736,21993,0,22007,4,
22008,1,22095,1651736,22092,0,22106,1,
22106,1,22214,1651552,22203,0,22228,1,
22240,1,22297,1651552,22295,0,22308,1,
22309,1,22403,1651788,22398,0,22487,7,
