App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 12:45:20 AM","56 min 46 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
4,0,0,1747796,0,0,4,0,
105,0,101,1748212,100,0,105,4,
153,0,151,1748336,150,0,153,5,
253,0,251,1745328,250,0,253,6,
353,0,351,1745452,350,0,353,0,
454,0,451,1745376,451,0,453,0,
558,0,552,1745500,551,0,557,0,
657,0,653,1745744,652,0,656,2,
768,0,756,1745748,754,0,767,1,
877,0,861,1745832,857,0,876,1,
957,0,954,1746108,954,0,957,2,
1057,0,1054,1746108,1054,0,1057,0,
1167,0,1158,1746232,1156,0,1166,3,
1279,0,1262,1746356,1260,0,1276,1,
1358,0,1356,1746480,1355,0,1357,4,
1458,0,1456,1746596,1455,0,1458,1,
1576,0,1565,1746720,1558,0,1575,3,
1675,0,1662,1746844,1659,0,1674,1,
1805,0,1780,1746844,1778,0,1802,1,
1862,0,1860,1746968,1860,0,1862,6,
1962,0,1960,1747092,1960,0,1962,0,
2062,0,2060,1747216,2060,0,2062,0,
2163,0,2161,1747340,2160,0,2163,0,
2297,0,2285,1747464,2266,0,2297,5,
2363,0,2361,1747588,2361,0,2363,3,
2464,0,2462,1747712,2461,0,2464,1,
2564,0,2562,1748336,2562,0,2564,12,
2664,0,2662,1748832,2662,0,2664,21,
2765,0,2762,1749200,2762,0,2765,21,
2865,0,2863,1749572,2862,0,2865,21,
2966,0,2963,1750068,2963,0,2966,21,
3066,0,3063,1750192,3063,0,3066,21,
3166,0,3164,1750184,3163,0,3166,31,
3267,0,3264,1751488,3264,0,3267,27,
3373,0,3365,1752072,3364,0,3372,34,
3387,1,3465,1754268,3465,0,3469,17,
3469,1,3569,1751356,3568,0,3575,10,
3575,1,3670,1751128,3669,0,3676,10,
3677,1,3770,1751060,3769,0,3775,7,
3776,1,3870,1751060,3870,0,3875,8,
3876,1,3971,1751060,3970,0,3975,6,
3975,1,4070,1751060,4070,0,4074,8,
4074,1,4171,1751060,4170,0,4174,6,
4175,1,4271,1751060,4271,0,4274,8,
4275,1,4371,1750992,4371,0,4375,6,
4375,1,4472,1750904,4471,0,4475,8,
4475,1,4572,1750904,4572,0,4576,5,
4576,1,4673,1750904,4672,10,4676,7,
4676,1,4773,1751028,4772,10,4776,9,
4776,1,4873,1751028,4873,10,4877,8,
4877,1,4974,1751028,4973,10,4977,7,
4977,1,5074,1751152,5074,10,5077,6,
5078,1,5175,1751152,5175,10,5178,5,
5179,1,5276,1751152,5275,10,5279,6,
5279,1,5376,1751152,5376,10,5380,6,
5380,1,5476,1751256,5476,10,5479,11,
5479,1,5577,1751648,5576,10,5580,19,
5580,1,5677,1752124,5676,8,5679,22,
5679,1,5777,1752368,5777,8,5779,26,
5779,1,5878,1752616,5877,8,5880,25,
5880,1,5978,1752988,5977,8,5980,26,
5980,1,6078,1752988,6078,8,6080,27,
6081,1,6178,1753484,6178,8,6181,23,
6181,1,6279,1754720,6278,8,6282,28,
6282,1,6379,1755404,6379,8,6384,15,
6384,1,6480,1756008,6479,8,6484,11,
6485,1,6580,1756212,6579,8,6583,11,
6583,1,6680,1756400,6680,21,6683,15,
6683,1,6781,1756988,6780,21,6785,12,
6786,1,6881,1753864,6880,21,6885,11,
6885,1,6981,1753616,6981,21,6984,6,
6984,1,7082,1753828,7082,21,7093,16,
7093,1,7183,1754100,7183,21,7193,32,
7193,1,7284,1755552,7284,21,7289,79,
7289,1,7385,1755836,7384,21,7389,32,
7390,1,7486,1756036,7485,21,7491,14,
7492,1,7586,1753080,7585,21,7591,14,
7591,1,7686,1753048,7685,41,7693,11,
7693,1,7786,1753008,7785,41,7793,4,
7794,1,7888,1753008,7887,41,7895,6,
7895,1,7987,1752460,7986,41,7994,9,
7994,1,8087,1752388,8086,41,8093,6,
8094,1,8187,1734440,8187,0,8191,6,
8192,1,8288,1734440,8287,0,8291,3,
8291,1,8388,1734440,8387,0,8392,1,
8392,1,8489,1734408,8488,0,8493,2,
8493,1,8589,1734408,8588,0,8592,2,
8593,1,8689,1734408,8688,0,8693,2,
8693,1,8790,1734408,8788,0,8793,2,
8793,1,8890,1734532,8889,0,8893,1,
8894,1,8990,1734656,8989,0,8994,2,
8994,1,9090,1734780,9089,0,9094,2,
9094,1,9190,1734904,9190,0,9195,4,
9195,1,9291,1735028,9290,0,9294,0,
9295,1,9391,1735028,9390,0,9396,1,
9396,1,9491,1735152,9491,0,9495,1,
9495,1,9592,1735276,9591,0,9595,2,
9596,1,9692,1735400,9691,0,9695,0,
9696,1,9796,1735264,9794,0,9811,0,
9813,1,9898,1735272,9895,0,9917,2,
9918,1,10000,1735396,9995,0,10054,1,
10061,1,10095,1735396,10095,0,10097,7,
10097,1,10195,1735520,10195,0,10197,2,
10198,1,10296,1735644,10295,0,10297,0,
10298,1,10397,1735644,10396,0,10413,0,
10415,1,10500,1735768,10498,0,10517,2,
10521,1,10597,1735892,10596,0,10598,5,
