App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 04:28:29 PM","15 min 46 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
3,0,0,1503196,0,0,3,0,
53,0,51,1503196,50,0,53,5,
153,0,151,1500484,150,0,153,5,
254,0,251,1500484,251,0,254,0,
354,0,352,1500732,351,0,354,0,
458,0,453,1500732,452,0,457,2,
558,0,553,1500856,552,0,557,0,
657,0,653,1500856,652,0,657,2,
758,0,753,1501104,752,0,757,0,
859,0,854,1501476,853,0,858,1,
958,0,954,1501380,953,0,958,1,
1069,0,1057,1501300,1055,0,1068,0,
1196,0,1176,1501424,1165,0,1195,1,
1271,0,1261,1501548,1257,0,1270,0,
1372,0,1361,1501548,1357,0,1371,1,
1488,0,1466,1501672,1459,0,1486,1,
1559,0,1557,1501796,1556,0,1559,4,
1659,0,1657,1501920,1657,0,1659,3,
1763,0,1757,1501920,1757,0,1762,0,
1876,0,1862,1502044,1860,0,1875,2,
1993,0,1974,1502168,1962,0,1988,1,
2080,0,2068,1502292,2065,0,2077,1,
2177,0,2165,1502416,2163,0,2176,1,
2292,0,2272,1502416,2264,0,2287,1,
2365,0,2363,1502540,2362,0,2365,2,
2465,0,2463,1502664,2463,0,2465,0,
2565,0,2564,1503152,2563,0,2565,10,
2666,0,2664,1503800,2663,0,2665,21,
2767,0,2764,1504172,2764,0,2766,21,
2867,0,2864,1504544,2864,0,2867,21,
2967,0,2965,1505144,2964,0,2967,21,
3067,0,3065,1505268,3064,0,3067,21,
3168,0,3165,1506192,3165,0,3167,22,
3268,0,3265,1508036,3265,0,3268,24,
3362,1,3369,1512184,3368,0,3375,37,
3375,1,3467,1515276,3467,0,3471,16,
3471,1,3567,1512488,3567,0,3571,10,
3571,1,3667,1512484,3667,0,3670,8,
3671,1,3768,1512536,3767,0,3772,5,
3773,1,3869,1512648,3868,0,3872,9,
3872,1,3969,1512896,3969,0,3973,9,
3973,1,4070,1513000,4069,0,4073,7,
4074,1,4170,1513124,4169,0,4173,8,
4174,1,4271,1513248,4269,0,4275,7,
4275,1,4371,1513492,4370,0,4375,8,
4375,1,4471,1513616,4470,0,4475,8,
4475,1,4571,1513616,4570,0,4580,6,
4580,1,4671,1512600,4670,6,4674,13,
4675,1,4771,1512484,4771,6,4775,8,
4775,1,4871,1512732,4871,6,4875,7,
4875,1,4972,1512732,4971,6,4975,6,
4976,1,5074,1512812,5074,6,5080,10,
5082,1,5174,1512812,5173,6,5177,10,
5177,1,5274,1512936,5273,6,5277,8,
5278,1,5377,1512936,5375,6,5382,3,
5382,1,5474,1512936,5474,6,5478,11,
5478,1,5575,1513092,5575,6,5578,17,
5578,1,5680,1513384,5679,5,5684,24,
5684,1,5780,1513632,5780,5,5783,26,
5783,1,5880,1513880,5880,5,5884,27,
5884,1,5981,1513980,5980,5,5984,22,
5984,1,6081,1514352,6081,5,6083,24,
6084,1,6182,1514228,6181,5,6185,28,
6185,1,6282,1515464,6282,5,6285,26,
6286,1,6383,1516476,6382,5,6385,20,
6385,1,6483,1516988,6483,5,6485,12,
6485,1,6584,1517112,6583,5,6588,14,
6588,1,6684,1517560,6683,15,6688,11,
6688,1,6784,1518240,6783,15,6788,10,
6788,1,6884,1516540,6884,15,6888,11,
6889,1,6984,1515020,6984,15,6988,10,
6989,1,7085,1515020,7084,15,7088,5,
7088,1,7185,1515124,7185,15,7189,20,
7189,1,7288,1517280,7287,0,7294,35,
7294,1,7388,1517800,7387,0,7391,45,
7391,1,7488,1518056,7487,0,7493,12,
7493,1,7589,1517192,7588,0,7595,11,
7595,1,7689,1516720,7688,0,7693,10,
7693,1,7789,1516648,7788,0,7793,1,
7793,1,7890,1516648,7889,0,7893,5,
7893,1,7990,1516648,7989,0,7993,2,
7993,1,8090,1516640,8089,0,8093,2,
8094,1,8190,1516764,8190,0,8194,2,
8194,1,8291,1516764,8290,0,8294,2,
8294,1,8391,1516764,8390,0,8394,4,
8394,1,8491,1516888,8490,0,8494,0,
8495,1,8591,1516888,8591,0,8595,2,
8595,1,8692,1516888,8691,0,8695,1,
8696,1,8792,1517012,8791,0,8795,1,
8796,1,8892,1517012,8892,0,8908,1,
8908,1,8992,1516040,8991,0,8994,8,
8994,1,9092,1516040,9092,0,9095,0,
9095,1,9193,1516040,9192,0,9195,1,
9195,1,9293,1516040,9292,0,9295,0,
9295,1,9393,1516040,9393,0,9397,2,
9397,1,9494,1516040,9493,0,9497,0,
9497,1,9594,1516040,9593,0,9598,1,
9598,1,9694,1510704,9694,0,9698,2,
9698,1,9794,1510704,9794,0,9798,0,
9798,1,9896,1510168,9895,0,9898,0,
9898,1,10008,1510088,9998,0,10045,1,
10046,1,10096,1510212,10095,0,10098,7,
10098,1,10196,1510336,10195,0,10198,3,
10198,1,10296,1510336,10296,0,10298,0,
10298,1,10396,1510460,10396,0,10398,0,
10399,1,10497,1510584,10496,0,10499,0,
10499,1,10603,1510708,10601,0,10611,4,
10612,1,10733,1510708,10724,0,10758,1,
10759,1,10798,1511060,10798,0,10800,12,
10800,1,10898,1511756,10898,0,10900,21,
10900,1,10999,1512128,10998,0,11001,21,
11001,1,11099,1512780,11099,0,11103,22,
11103,1,11199,1513028,11199,0,11204,22,
11204,1,11302,1513400,11300,0,11310,22,
11310,1,11401,1514144,11400,0,11404,22,
11405,1,11501,1515864,11500,0,11505,23,
11505,1,11602,1517772,11601,0,11609,24,
11609,1,11702,1506944,11702,0,11706,36,
11707,1,11802,1506572,11802,0,11806,25,
11807,1,11903,1508048,11902,0,11907,44,
11907,1,12003,1509744,12003,0,12014,21,
12014,1,12104,1516476,12103,0,12112,25,
12112,1,12204,1519736,12203,0,12213,34,
12213,1,12304,1524712,12304,0,12309,42,
12309,1,12404,1539620,12404,0,12408,47,
12408,1,12504,1543792,12504,0,12508,49,
12508,1,12605,1545636,12604,0,12609,45,
12609,1,12705,1546572,12705,0,12712,42,
12712,1,12806,1549144,12805,0,12812,56,
