App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 01:31:02 PM","20 min 0 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
4,0,0,1656364,0,0,3,60,
192,0,187,1657028,187,0,192,9,
293,0,288,1653932,287,0,293,3,
355,0,339,1653932,338,0,355,0,
447,0,440,1654264,438,0,446,3,
543,0,538,1654264,538,0,543,3,
657,0,639,1654264,638,0,657,1,
743,0,739,1654560,738,0,743,10,
843,0,839,1654932,839,0,843,3,
945,0,939,1655056,939,0,945,1,
1065,0,1040,1655160,1039,0,1061,1,
1141,0,1140,1655156,1139,0,1141,5,
1242,0,1240,1655280,1239,0,1242,2,
1351,0,1343,1655404,1342,0,1351,6,
1486,0,1461,1655404,1450,0,1486,1,
1543,0,1541,1655528,1541,0,1543,8,
1644,0,1642,1655652,1641,0,1644,2,
1757,0,1745,1655776,1743,0,1756,3,
1859,0,1847,1655900,1845,0,1858,1,
1995,0,1969,1656016,1960,0,1990,1,
2048,0,2046,1656140,2046,0,2048,6,
2148,0,2146,1656140,2146,0,2148,0,
2258,0,2250,1656264,2248,0,2257,1,
2379,0,2359,1656388,2349,0,2379,1,
2449,0,2447,1656512,2447,0,2449,3,
2549,0,2548,1657092,2547,0,2549,8,
2650,0,2648,1657608,2648,0,2650,19,
2751,0,2749,1658104,2748,0,2751,25,
2851,0,2849,1658476,2848,0,2851,25,
2951,0,2949,1658988,2948,0,2951,25,
3051,0,3049,1659236,3049,0,3051,23,
3152,0,3149,1660524,3149,0,3152,23,
3252,0,3250,1661888,3249,0,3252,30,
3305,1,3351,1664436,3350,0,3355,17,
3355,1,3451,1662640,3450,0,3455,14,
3455,1,3553,1661812,3551,0,3557,11,
3557,1,3652,1661936,3651,0,3655,9,
3655,1,3753,1662300,3752,0,3756,9,
3757,1,3853,1662424,3852,0,3856,11,
3857,1,3954,1662432,3953,0,3962,6,
3962,1,4054,1661876,4054,0,4057,16,
4058,1,4155,1661752,4155,0,4159,3,
4159,1,4256,1661752,4255,0,4259,8,
4260,1,4361,1661752,4361,0,4365,10,
4365,1,4462,1661752,4461,0,4465,9,
4465,1,4562,1661752,4561,6,4565,11,
4565,1,4662,1661752,4662,6,4666,8,
4667,1,4763,1661752,4762,6,4766,8,
4766,1,4863,1661708,4863,6,4867,6,
4868,1,4964,1661756,4963,6,4968,3,
4968,1,5064,1661632,5063,6,5067,11,
5067,1,5164,1661880,5164,6,5167,7,
5168,1,5265,1661764,5264,6,5268,6,
5268,1,5366,1661756,5366,6,5369,9,
5370,1,5467,1661756,5466,6,5470,8,
5470,1,5568,1662144,5567,4,5571,16,
5571,1,5668,1662600,5667,4,5670,29,
5670,1,5768,1662724,5767,4,5770,25,
5770,1,5868,1662796,5867,4,5870,30,
5871,1,5968,1663400,5968,4,5971,23,
5971,1,6068,1663276,6068,4,6070,26,
6071,1,6168,1663644,6168,4,6171,31,
6171,1,6269,1664548,6268,4,6271,26,
6271,1,6369,1665396,6369,4,6371,20,
6371,1,6469,1665768,6469,4,6472,8,
6473,1,6570,1666092,6570,15,6573,17,
6574,1,6670,1666456,6670,15,6674,15,
6674,1,6771,1667080,6770,15,6775,11,
6775,1,6872,1664000,6871,15,6875,14,
6876,1,6972,1663832,6972,15,6976,11,
6976,1,7072,1663956,7072,15,7076,6,
7076,1,7174,1664084,7173,15,7176,19,
7176,1,7276,1666776,7276,15,7281,41,
7281,1,7379,1667204,7378,15,7383,42,
7383,1,7480,1667664,7479,15,7485,15,
7485,1,7580,1666068,7580,43,7586,11,
7586,1,7682,1664880,7681,43,7689,14,
7689,1,7782,1664668,7780,43,7785,6,
7785,1,7884,1664784,7883,43,7888,7,
7889,1,7983,1664660,7982,43,7986,6,
7987,1,8084,1664660,8083,43,8087,5,
8088,1,8184,1664660,8184,0,8188,2,
8188,1,8284,1664660,8284,0,8287,1,
8288,1,8385,1664660,8384,0,8388,2,
8388,1,8485,1664660,8484,0,8488,0,
8488,1,8585,1664660,8585,0,8589,0,
8589,1,8685,1664660,8685,0,8689,1,
8689,1,8786,1663396,8785,0,8788,11,
8789,1,8887,1663348,8887,0,8893,1,
8894,1,8986,1663348,8986,0,8990,1,
8990,1,9087,1655016,9086,0,9091,2,
9092,1,9187,1655016,9186,0,9191,2,
9191,1,9287,1655016,9287,0,9291,2,
9291,1,9387,1655016,9387,0,9392,0,
9392,1,9488,1655016,9487,0,9492,2,
9493,1,9588,1655016,9588,0,9592,4,
9592,1,9688,1654792,9688,0,9690,4,
9691,1,9788,1654712,9788,0,9790,0,
9791,1,9890,1654836,9889,0,9908,0,
9908,1,9993,1654960,9991,0,9999,2,
9999,1,10097,1654960,10094,0,10107,3,
10107,1,10191,1655208,10189,0,10195,5,
10195,1,10290,1655332,10290,0,10292,0,
10292,1,10391,1655332,10390,0,10397,2,
10398,1,10495,1655456,10493,0,10506,2,
10507,1,10601,1655580,10599,0,10617,2,
10618,1,10729,1655704,10707,0,10763,2,
10763,1,10798,1656184,10798,0,10800,20,
10800,1,10898,1656768,10898,0,10900,25,
10901,1,10999,1657132,10998,0,11001,25,
11001,1,11099,1657504,11098,0,11101,25,
11101,1,11199,1658000,11199,0,11201,25,
11201,1,11300,1658248,11299,0,11305,24,
11306,1,11400,1659784,11400,0,11405,27,
11405,1,11501,1661772,11500,0,11505,24,
11505,1,11603,1649572,11603,0,11614,34,
11615,1,11703,1651540,11703,0,11707,33,
11707,1,11804,1653440,11803,0,11810,26,
11810,1,11906,1659228,11905,0,11915,3,
11916,1,12005,1660684,12004,0,12010,17,
12010,1,12106,1665672,12105,0,12111,41,
12111,1,12205,1675124,12205,0,12209,37,
12209,1,12306,1683836,12306,0,12311,50,
12311,1,12407,1687188,12407,0,12412,45,
12412,1,12510,1689208,12509,0,12519,31,
12519,1,12610,1690568,12609,0,12614,34,
12614,1,12711,1693032,12710,0,12716,25,
12716,1,12810,1692948,12810,0,12815,30,
12815,1,12910,1695484,12910,32,12913,27,
12913,1,13011,1698956,13010,32,13014,37,
13014,1,13111,1701452,13111,32,13115,40,
13116,1,13211,1712612,13211,32,13216,28,
13216,1,13312,1708700,13311,32,13317,28,
13317,1,13412,1710136,13412,32,13417,31,
13417,1,13513,1712284,13512,32,13517,29,
13517,1,13613,1713400,13612,32,13617,23,
13618,1,13713,1716008,13712,32,13717,21,
