App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 11:19:25 PM","57 min 6 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
3,0,1,1715232,0,0,3,4,
144,0,141,1715512,141,0,144,12,
244,0,242,1712860,241,0,244,2,
345,0,342,1713012,341,0,345,3,
447,0,442,1713320,442,0,447,2,
547,0,543,1713444,542,0,547,1,
651,0,643,1713680,642,0,651,1,
799,0,762,1712592,752,0,799,2,
845,0,843,1712644,843,0,845,9,
945,0,943,1712768,943,0,945,3,
1065,0,1047,1713008,1044,0,1064,3,
1158,0,1149,1713216,1146,0,1158,3,
1263,0,1250,1713340,1248,0,1262,1,
1363,0,1349,1713340,1347,0,1362,1,
1491,0,1467,1713464,1462,0,1487,1,
1550,0,1548,1713588,1548,0,1550,5,
1650,0,1648,1713712,1648,0,1650,0,
1751,0,1749,1713836,1748,0,1750,0,
1851,0,1849,1713960,1848,0,1851,0,
1981,0,1954,1714084,1951,0,1980,5,
2052,0,2050,1714084,2049,0,2051,2,
2152,0,2150,1714208,2149,0,2152,2,
2270,0,2257,1714332,2252,0,2270,2,
2370,0,2354,1714456,2352,0,2370,1,
2457,0,2453,1714580,2451,0,2457,2,
2554,0,2552,1714704,2551,0,2553,2,
2654,0,2652,1715436,2652,0,2654,11,
2754,0,2752,1715976,2752,0,2754,21,
2855,0,2852,1716340,2852,0,2855,21,
2956,0,2953,1716836,2952,0,2956,25,
3058,0,3053,1717372,3053,0,3058,23,
3158,0,3154,1717620,3153,0,3158,23,
3259,0,3255,1719132,3254,0,3259,21,
3358,0,3354,1720244,3354,0,3358,24,
3408,1,3455,1722516,3454,0,3457,22,
3457,1,3556,1720036,3555,0,3559,8,
3560,1,3656,1720144,3655,0,3659,4,
3659,1,3756,1720144,3756,0,3760,8,
3763,1,3857,1720144,3856,0,3865,8,
3865,1,3957,1720056,3956,0,3961,5,
3964,1,4058,1720180,4057,0,4067,7,
4067,1,4157,1720304,4157,0,4161,8,
4161,1,4258,1720428,4257,0,4261,7,
4262,1,4358,1720552,4357,0,4361,7,
4362,1,4458,1720676,4458,0,4462,5,
4462,1,4559,1720800,4558,0,4562,6,
4562,1,4659,1721048,4658,9,4662,7,
4662,1,4760,1721172,4759,9,4763,9,
4763,1,4861,1721412,4861,9,4865,12,
4865,1,4962,1721524,4961,9,4966,5,
4966,1,5062,1721648,5061,9,5066,7,
5066,1,5163,1721896,5162,9,5167,8,
5167,1,5263,1720472,5263,9,5266,20,
5266,1,5364,1720472,5363,9,5367,7,
5367,1,5464,1720472,5463,9,5467,8,
5467,1,5564,1720596,5563,9,5568,11,
5568,1,5664,1720760,5664,8,5668,18,
5668,1,5765,1720856,5764,8,5768,17,
5768,1,5865,1720980,5864,8,5868,24,
5868,1,5965,1721336,5964,8,5967,26,
5967,1,6065,1721336,6065,8,6067,26,
6068,1,6166,1721832,6165,8,6168,24,
6168,1,6266,1721708,6265,8,6268,22,
6268,1,6367,1722848,6366,8,6369,29,
6369,1,6467,1724196,6466,8,6469,22,
6469,1,6567,1724204,6567,8,6570,8,
6570,1,6668,1724576,6667,14,6671,12,
