App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 04:04:43 PM","15 min 35 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
5,0,1,1575564,0,0,5,4,
55,0,51,1575800,50,0,55,8,
153,0,150,1573104,150,0,153,6,
253,0,251,1573104,250,0,253,2,
354,0,351,1573228,350,0,354,4,
455,0,451,1573228,451,0,455,3,
565,0,554,1573524,553,0,565,1,
655,0,652,1573648,652,0,655,4,
755,0,752,1574012,752,0,755,4,
872,0,853,1574260,852,0,872,2,
958,0,954,1573704,953,0,958,7,
1058,0,1054,1573704,1053,0,1058,0,
1159,0,1154,1573672,1154,0,1159,1,
1256,0,1254,1573044,1254,0,1256,3,
1356,0,1354,1572964,1354,0,1356,2,
1456,0,1454,1572964,1454,0,1456,0,
1566,0,1558,1572964,1556,0,1565,2,
1697,0,1679,1572964,1671,0,1694,1,
1758,0,1756,1572964,1756,0,1758,5,
1858,0,1856,1572964,1856,0,1858,0,
1958,0,1956,1572964,1956,0,1958,0,
2058,0,2057,1572964,2056,0,2058,0,
2158,0,2157,1572964,2156,0,2158,0,
2259,0,2257,1572964,2257,0,2259,0,
2383,0,2368,1572956,2362,0,2382,5,
2474,0,2463,1572956,2459,0,2473,1,
2560,0,2558,1573256,2558,0,2560,11,
2660,0,2659,1573728,2658,0,2660,25,
2761,0,2759,1574100,2758,0,2761,25,
2861,0,2859,1574348,2859,0,2861,25,
2962,0,2959,1574808,2959,0,2961,18,
3062,0,3059,1574932,3059,0,3062,27,
3165,0,3161,1576552,3160,0,3165,24,
3218,1,3262,1577212,3261,0,3265,26,
3265,1,3362,1585332,3362,0,3366,8,
3366,1,3462,1582456,3462,0,3464,5,
3465,1,3563,1582456,3562,0,3567,7,
3568,1,3663,1582456,3663,0,3668,9,
3668,1,3764,1582456,3763,0,3768,9,
3768,1,3864,1582564,3863,0,3868,8,
3868,1,3964,1582564,3964,0,3969,4,
