App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 01:00:03 PM","20 min 3 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
4,0,0,1731112,0,0,4,0,
53,0,50,1731220,50,0,53,0,
155,0,151,1731808,151,0,154,2,
254,0,251,1729112,251,0,254,4,
354,0,351,1729112,351,0,354,2,
455,0,452,1729360,451,0,455,0,
555,0,552,1729360,551,0,555,0,
656,0,652,1729484,652,0,656,0,
756,0,753,1729608,752,0,755,0,
857,0,853,1729824,852,0,857,1,
965,0,956,1729960,954,0,965,2,
1055,0,1053,1729920,1053,0,1055,2,
1155,0,1153,1730044,1153,0,1155,2,
1255,0,1254,1730168,1253,0,1255,0,
1371,0,1358,1730292,1356,0,1370,1,
1471,0,1460,1730416,1456,0,1470,1,
1572,0,1561,1730540,1557,0,1571,1,
1704,0,1679,1730664,1666,0,1698,1,
1759,0,1757,1730788,1756,0,1758,6,
1870,0,1857,1730788,1856,0,1870,2,
1965,0,1958,1730112,1957,0,1964,7,
2071,0,2061,1730112,2059,0,2070,2,
2206,0,2185,1730112,2174,0,2203,1,
2261,0,2259,1730112,2259,0,2260,9,
2361,0,2359,1730068,2359,0,2361,2,
2466,0,2461,1730116,2460,0,2466,5,
2561,0,2560,1730392,2559,0,2561,12,
2661,0,2660,1731000,2660,0,2661,25,
2762,0,2760,1731248,2760,0,2762,25,
2862,0,2860,1731496,2860,0,2862,25,
2963,0,2960,1731744,2960,0,2963,25,
3063,0,3061,1732116,3060,0,3063,25,
3163,0,3161,1733688,3161,0,3163,26,
3265,0,3261,1734428,3261,0,3264,31,
3275,1,3362,1736624,3361,0,3364,10,
3364,1,3462,1733752,3462,0,3465,6,
3465,1,3563,1733760,3562,0,3568,9,
3569,1,3664,1733688,3663,0,3667,10,
3667,1,3763,1733780,3763,0,3766,5,
3767,1,3864,1733748,3864,0,3870,9,
3871,1,3964,1733872,3963,0,3967,11,
3967,1,4065,1733868,4064,0,4069,8,
4070,1,4165,1733992,4164,0,4169,8,
4169,1,4265,1733868,4265,0,4269,5,
