App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 09:52:30 PM","57 min 32 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
14,0,12,1716984,0,0,14,0,
155,0,152,1717400,152,0,155,9,
255,0,253,1714792,252,0,255,4,
358,0,354,1714792,353,0,358,1,
466,0,456,1714756,455,0,466,1,
556,0,554,1714756,553,0,556,4,
656,0,654,1715004,653,0,656,2,
759,0,755,1715248,754,0,759,0,
862,0,856,1715236,855,0,862,1,
957,0,955,1715280,954,0,956,3,
1057,0,1055,1715576,1054,0,1057,3,
1157,0,1155,1715700,1155,0,1157,0,
1267,0,1259,1715700,1257,0,1266,3,
1386,0,1363,1715824,1359,0,1381,1,
1459,0,1457,1715948,1456,0,1458,2,
1559,0,1557,1716072,1556,0,1559,0,
1675,0,1664,1716196,1659,0,1674,4,
1773,0,1763,1716196,1760,0,1773,1,
1901,0,1883,1716320,1875,0,1898,1,
1962,0,1960,1716444,1959,0,1962,6,
2062,0,2060,1716568,2059,0,2062,2,
2176,0,2165,1716568,2162,0,2175,4,
2297,0,2268,1716692,2263,0,2288,1,
2363,0,2362,1716816,2361,0,2363,8,
2464,0,2462,1716940,2461,0,2463,2,
2580,0,2569,1717064,2566,0,2579,3,
2687,0,2669,1717192,2667,0,2687,1,
2767,0,2766,1717908,2765,0,2767,21,
2868,0,2866,1718404,2865,0,2868,21,
2968,0,2966,1718900,2966,0,2968,18,
3071,0,3067,1719272,3066,0,3071,23,
3171,0,3167,1719644,3166,0,3171,22,
3272,0,3268,1719892,3267,0,3272,22,
3372,0,3368,1721616,3367,0,3372,20,
3488,0,3474,1722568,3473,0,3488,24,
3502,1,3569,1724420,3568,0,3574,27,
3574,1,3669,1721420,3669,0,3682,4,
3682,1,3773,1721420,3770,0,3788,8,
3788,1,3870,1721464,3869,0,3875,5,
3875,1,3971,1721464,3970,0,3976,10,
3976,1,4071,1721464,4070,0,4076,4,
4077,1,4171,1721168,4170,0,4175,10,
