App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 03:16:14 PM","1 min 36 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
4,0,1,1673944,0,0,186,10,
186,0,184,1674516,183,0,286,2,
286,0,284,1671988,284,0,386,2,
387,0,384,1672080,384,0,487,0,
487,0,484,1672080,484,0,588,0,
588,0,585,1672080,584,0,687,3,
687,0,685,1672204,684,0,790,2,
790,0,785,1672444,785,0,897,1,
898,0,886,1672744,885,0,1004,2,
1005,0,994,1672652,991,0,1104,1,
1104,0,1091,1672760,1089,0,1189,9,
1189,0,1187,1672988,1186,0,1290,2,
1290,0,1288,1673084,1287,0,1404,1,
1405,0,1394,1673208,1391,0,1504,1,
1505,0,1493,1673332,1490,0,1620,1,
1622,0,1594,1673456,1591,0,1691,5,
1691,0,1689,1673456,1689,0,1791,2,
1791,0,1789,1673580,1789,0,1903,2,
1904,0,1892,1673704,1891,0,2006,1,
2007,0,1995,1673828,1992,0,2124,1,
2125,0,2100,1673952,2094,0,2208,1,
2209,0,2196,1674076,2194,0,2271,2,
2274,0,2251,1674200,2246,0,2346,6,
2346,0,2344,1674324,2344,0,2446,0,
2446,0,2444,1674448,2444,0,2574,4,
2594,0,2558,1674696,2547,0,2646,10,
2646,0,2645,1674184,2644,0,2746,25,
2746,0,2745,1674224,2744,0,2848,25,
2848,0,2845,1674596,2845,0,2949,19,
2949,0,2945,1674968,2945,0,3050,27,
3051,0,3046,1675340,3045,0,3150,26,
3151,0,3146,1675340,3146,0,3249,25,
3249,0,3247,1676776,3246,0,3350,21,
3351,0,3347,1677736,3346,0,3452,20,
3398,1,3447,1679800,3447,0,3551,3,
3452,1,3547,1677204,3547,0,3653,9,
3551,1,3648,1677320,3647,0,3753,8,
3654,1,3748,1677052,3748,0,3855,7,
3753,1,3850,1677052,3848,0,3952,8,
3855,1,3949,1677160,3948,0,4053,9,
3952,1,4050,1677104,4049,0,4153,8,
4053,1,4150,1677104,4149,0,4253,4,
4153,1,4250,1677104,4249,0,4353,7,
4253,1,4350,1677104,4349,0,4454,4,
4354,1,4451,1677228,4450,0,4554,5,
4454,1,4551,1677352,4550,0,4654,9,
4555,1,4651,1677228,4650,6,4754,6,
4654,1,4751,1677352,4750,6,4857,6,
4754,1,4851,1677476,4851,6,4955,8,
4857,1,4952,1677352,4951,6,5056,4,
4956,1,5052,1677352,5052,6,5156,13,
5057,1,5153,1677472,5152,6,5257,9,
5156,1,5253,1677472,5252,6,5357,9,
5257,1,5353,1677472,5352,6,5457,6,
5357,1,5453,1677472,5453,6,5558,6,
5457,1,5554,1677660,5553,6,5660,22,
5559,1,5654,1677988,5653,4,5757,27,
5660,1,5754,1678292,5754,4,5857,28,
5757,1,5854,1678536,5854,4,5956,25,
5857,1,5954,1678784,5954,4,6057,18,
5956,1,6055,1679156,6054,4,6157,28,
6057,1,6155,1679280,6154,4,6257,31,
6157,1,6255,1679404,6255,4,6358,30,
6257,1,6355,1680652,6355,4,6462,21,
6358,1,6456,1681500,6456,4,6562,18,
6462,1,6556,1681288,6556,4,6661,11,
6562,1,6657,1681412,6656,14,6761,16,
6661,1,6757,1681452,6757,14,6862,13,
6762,1,6857,1682096,6857,14,6962,13,
6862,1,6958,1679212,6957,14,7062,8,
6962,1,7058,1679212,7058,14,7165,7,
7062,1,7160,1679236,7159,14,7266,28,
7165,1,7262,1679908,7261,14,7370,78,
7266,1,7362,1682416,7362,14,7466,36,
7370,1,7463,1682540,7462,14,7571,6,
7466,1,7563,1682664,7563,14,7670,12,
7572,1,7664,1677716,7663,42,7770,11,
7670,1,7764,1677136,7764,42,7870,3,
7770,1,7865,1677136,7864,0,7969,1,
7870,1,7965,1676648,7964,0,8075,2,
7969,1,8068,1676772,8066,0,8169,0,
8075,1,8166,1676692,8165,0,8270,4,
8170,1,8266,1676940,8265,0,8370,1,
8270,1,8366,1677064,8365,0,8470,1,
8370,1,8466,1677188,8465,0,8571,5,
8470,1,8566,1677312,8566,0,8676,2,
8571,1,8673,1677436,8672,0,8771,5,
8677,1,8767,1677676,8766,0,8871,2,
8771,1,8868,1677800,8867,0,8971,2,
8871,1,8968,1677924,8967,0,9071,2,
8971,1,9068,1678048,9067,0,9173,2,
9072,1,9168,1678172,9168,0,9272,3,
9173,1,9269,1678172,9268,0,9372,1,
9272,1,9369,1678296,9368,0,9472,1,
9372,1,9469,1678296,9469,0,9573,0,
9473,1,9570,1678296,9569,0,9673,1,
9573,1,9670,1678296,9669,0,9801,3,
9673,1,9779,1677564,9775,0,9895,2,
9802,1,9884,1677604,9874,0,9973,0,
9895,1,9971,1677604,9971,0,10073,2,
9973,1,10071,1677728,10071,0,10174,0,
10074,1,10172,1677852,10171,0,10311,4,
10174,1,10288,1678100,10273,0,10375,12,
10313,1,10372,1677308,10372,0,10474,0,
10375,1,10473,1677308,10472,0,10575,0,
10474,1,10573,1677308,10572,0,10682,5,
10575,1,10677,1677308,10675,0,10786,4,
10683,1,10783,1677356,10776,0,10877,25,
10787,1,10875,1677760,10875,0,10978,25,
10878,1,10976,1678128,10975,0,11078,23,
10978,1,11076,1678624,11076,0,11181,29,
11078,1,11177,1679044,11176,0,11281,26,
11181,1,11278,1679168,11277,0,11382,27,
11282,1,11378,1680180,11378,0,11488,24,
11382,1,11481,1682104,11480,0,11592,36,
11488,1,11579,1680764,11579,0,11683,25,
11594,1,11679,1673836,11679,0,11786,18,
11683,1,11780,1678292,11779,0,11887,9,
11786,1,11882,1682608,11881,0,11985,15,
11888,1,11981,1687416,11981,0,12085,16,
11985,1,12082,1691996,12081,0,12184,21,
12086,1,12182,1694796,12181,0,12284,19,
