App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 06:11:06 PM","15 min 34 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
3,0,0,1628844,2,0,1,0,
107,0,105,1632440,107,25,106,0,
206,0,204,1632688,206,15,204,0,
306,0,304,1627840,306,5,305,0,
406,0,404,1627840,406,5,405,0,
548,0,535,1627964,545,8,543,0,
615,0,607,1627964,609,7,607,0,
710,0,707,1628072,709,8,708,0,
810,0,808,1628072,810,4,808,0,
910,0,908,1628072,910,4,908,0,
1029,0,1008,1628072,1028,0,1009,0,
1111,0,1109,1628320,1111,10,1110,0,
1212,0,1210,1628320,1212,2,1210,0,
1312,0,1310,1628320,1312,3,1310,0,
1413,0,1410,1628320,1412,2,1411,0,
1513,0,1511,1628320,1512,2,1511,0,
1613,0,1611,1628320,1613,7,1611,0,
1716,0,1711,1628320,1715,4,1711,0,
1813,0,1811,1628320,1813,2,1811,0,
1914,0,1911,1628320,1913,1,1912,0,
2023,0,2012,1628320,2019,4,2012,0,
2114,0,2112,1628320,2114,6,2112,0,
2214,0,2212,1628320,2214,5,2212,0,
2315,0,2312,1628320,2314,2,2313,0,
2415,0,2412,1628320,2414,2,2413,0,
2524,0,2513,1628320,2524,2,2513,0,
2631,0,2620,1628320,2625,9,2622,0,
2800,0,2798,1628788,2800,18,2799,0,
3150,0,2954,1630812,3089,23,3041,0,
3161,0,3155,1633580,3161,25,3159,1600000,
3168,0,3162,1633580,3168,0,3162,1600000,
3185,0,3183,1633704,3184,25,3183,1600000,
3286,0,3283,1644492,3286,19,3284,1600000,
3386,0,3384,1639700,3386,20,3384,1600000,
3401,1,3485,1639628,3487,15,3486,1600000,
3487,1,3586,1639848,3592,13,3587,1600000,
3593,1,3686,1639848,3689,12,3687,1600000,
3690,1,3786,1640004,3788,7,3787,1600000,
3790,1,3887,1640004,3889,2,3887,1600000,
3889,1,3987,1640128,3989,4,3988,1600000,
3990,1,4087,1640056,4094,8,4088,1600000,
4094,1,4189,1640056,4191,15,4189,1400000,
4191,1,4291,1640128,4295,9,4291,1400000,
4295,1,4390,1640056,4393,8,4391,1400000,
4394,1,4490,1640056,4492,6,4490,1400000,
4492,1,4590,1640056,4596,13,4591,1400000,
4596,1,4691,1640128,4693,7,4691,1400000,
4693,1,4791,1640088,4793,10,4791,1400000,
4793,1,4891,1640088,4894,13,4892,1400000,
4894,1,4992,1640088,4996,15,4993,1400000,
4996,1,5092,1640088,5095,10,5093,1400000,
5097,1,5192,1640088,5195,9,5193,1400000,
5195,1,5292,1640088,5294,2,5293,1400000,
5295,1,5393,1640088,5395,2,5393,1400000,
5395,1,5493,1640088,5495,2,5493,1400000,
5495,1,5593,1640088,5596,2,5593,1400000,
5597,1,5693,1640212,5695,4,5694,1400000,
5696,1,5793,1640188,5795,2,5794,1400000,
5796,1,5894,1640188,5896,1,5894,1400000,
5896,1,5994,1640260,5997,12,5995,1400000,
5997,1,6103,1640136,6113,18,6104,1600000,
6114,1,6199,1641500,6202,5,6200,1600000,
6202,1,6300,1643060,6302,0,6300,1600000,
6302,1,6400,1645044,6403,7,6401,1600000,
6403,1,6502,1652236,6508,22,6502,1600000,
6508,1,6602,1652308,6608,15,6602,1600000,
6608,1,6703,1652868,6707,25,6704,1400000,
6707,1,6803,1652828,6807,26,6804,1400000,
6811,1,6904,1645760,6924,43,6905,1600000,
6926,1,7004,1644820,7013,42,7005,1600000,
7017,1,7104,1645068,7108,32,7105,1600000,
7108,1,7205,1641968,7209,10,7207,1400000,
7210,1,7305,1641772,7308,4,7305,1400000,
7308,1,7405,1641772,7410,2,7405,1400000,
7410,1,7505,1641896,7509,4,7506,1400000,
7509,1,7606,1641772,7608,4,7606,1400000,
7609,1,7706,1641796,7709,4,7706,1400000,
7709,1,7806,1641788,7815,2,7807,1400000,
7815,1,7907,1641796,7910,6,7907,1400000,
7910,1,8007,1641920,8010,1,8008,1400000,
8010,1,8107,1641920,8110,2,8108,1400000,
8110,1,8207,1641920,8213,2,8208,1400000,
8214,1,8308,1641920,8311,6,8308,1400000,
8311,1,8408,1641920,8411,0,8408,1400000,
8411,1,8508,1641920,8511,1,8509,1400000,
8511,1,8608,1641796,8613,2,8609,1400000,
8614,1,8709,1641796,8712,4,8709,1400000,
8712,1,8809,1641424,8813,2,8810,1400000,
8813,1,8909,1641424,8912,7,8910,1400000,
8912,1,9011,1641424,9015,1,9011,1400000,
9016,1,9110,1641424,9114,6,9110,1400000,
9115,1,9210,1641548,9213,4,9210,1400000,
9213,1,9310,1641548,9313,2,9311,1400000,
9313,1,9410,1641424,9416,10,9411,1400000,
9416,1,9511,1641424,9515,4,9511,1400000,
9515,1,9611,1641424,9614,2,9611,1400000,
9614,1,9711,1641424,9714,3,9712,1400000,
9714,1,9811,1641408,9816,0,9812,1400000,
9816,1,9912,1641408,9914,6,9912,1400000,
9915,1,10012,1641408,10015,2,10012,1400000,
10015,1,10112,1641284,10115,1,10112,1400000,
10115,1,10212,1641284,10218,3,10213,1400000,
10218,1,10312,1641284,10315,4,10313,1400000,
10316,1,10413,1641408,10415,3,10413,1400000,
10416,1,10513,1641284,10517,0,10513,1400000,
10517,1,10613,1641428,10621,7,10614,1600000,
10621,1,10713,1641072,10717,16,10714,1600000,
10717,1,10814,1642140,10817,28,10814,1600000,
10817,1,10914,1643752,10917,30,10914,1600000,
10917,1,11014,1646976,11024,25,11015,1600000,
11025,1,11115,1646232,11117,32,11115,1600000,
11118,1,11215,1647172,11224,23,11215,1600000,
11225,1,11315,1636168,11319,33,11316,1600000,
11319,1,11415,1636912,11423,32,11416,1600000,
11423,1,11516,1637160,11519,15,11516,1600000,
11519,1,11617,1637160,11622,14,11618,1400000,
11623,1,11717,1638176,11721,11,11718,1400000,
11721,1,11817,1638732,11822,13,11818,1400000,
11823,1,11918,1638732,11921,7,11918,1400000,
11921,1,12018,1635632,12021,4,12018,1400000,
12021,1,12118,1635632,12121,0,12119,1400000,
12121,1,12218,1635632,12223,0,12219,1400000,
12223,1,12319,1635632,12322,6,12319,1400000,
12322,1,12419,1635632,12422,2,12419,1400000,
12422,1,12519,1635632,12522,2,12520,1400000,
12522,1,12619,1635756,12624,1,12620,1400000,
12624,1,12720,1635724,12723,7,12720,1400000,
12723,1,12820,1635700,12823,5,12820,1400000,
12823,1,12920,1635700,12923,2,12921,1400000,
12923,1,13020,1635700,13025,1,13021,1400000,
13025,1,13121,1635700,13124,4,13121,1400000,
13124,1,13221,1635700,13224,1,13221,1400000,
13224,1,13321,1635576,13324,0,13322,1400000,
13324,1,13421,1635576,13427,2,13422,1400000,
13427,1,13522,1635576,13525,8,13522,1400000,
13525,1,13622,1635576,13625,1,13622,1400000,
13625,1,13723,1635576,13726,0,13724,1400000,
13726,1,13824,1635576,13828,3,13824,1400000,
13828,1,13924,1635576,13927,8,13924,1400000,
13927,1,14024,1635576,14029,0,14025,1400000,
14029,1,14124,1635576,14127,2,14125,1400000,
14127,1,14225,1635504,14231,4,14225,1400000,
14231,1,14325,1635504,14328,8,14325,1400000,
14328,1,14425,1635504,14428,0,14426,1400000,
14428,1,14525,1635504,14528,2,14526,1400000,
14528,1,14626,1635504,14630,2,14626,1400000,
14630,1,14726,1635520,14729,8,14726,1400000,
14729,1,14826,1635512,14829,1,14827,1400000,
14829,1,14926,1635512,14929,0,14927,1400000,
14930,1,15027,1635512,15031,1,15027,1400000,
15032,1,15127,1635512,15130,5,15127,1400000,
15130,1,15227,1635512,15231,2,15228,1400000,
15231,1,15327,1635512,15330,4,15328,1400000,
15331,1,15427,1635512,15432,0,15428,1400000,
15433,1,15528,1635512,15531,6,15528,1400000,
15531,1,15628,1635512,15631,5,15628,1400000,
15631,1,15728,1635512,15731,1,15729,1400000,
15731,1,15828,1635544,15834,1,15829,1400000,
15834,1,15929,1635544,15932,6,15929,1400000,
15932,1,16029,1635544,16032,4,16029,1400000,
