App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 02:02:10 PM","20 min 3 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
2,0,0,1628736,2,0,0,0,
111,0,107,1632208,111,25,110,0,
211,0,209,1632332,211,15,209,0,
312,0,310,1627616,312,6,310,0,
421,0,410,1627616,420,5,410,0,
512,0,510,1627616,512,11,511,0,
613,0,610,1627616,612,4,611,0,
779,0,776,1627616,778,6,777,0,
831,0,829,1627616,831,3,829,0,
933,0,931,1627616,933,8,931,0,
1035,0,1032,1627864,1034,6,1033,0,
1135,0,1133,1627864,1134,5,1133,0,
1235,0,1233,1627864,1235,2,1233,0,
1335,0,1333,1627864,1335,2,1333,0,
1441,0,1433,1627864,1440,4,1434,0,
1537,0,1534,1627988,1536,7,1535,0,
1637,0,1635,1627988,1637,0,1635,0,
1737,0,1735,1627988,1737,2,1735,0,
1838,0,1836,1627988,1838,3,1837,0,
1946,0,1937,1627988,1946,0,1937,0,
2044,0,2039,1627988,2043,7,2039,0,
2142,0,2139,1627988,2141,4,2140,0,
2242,0,2239,1627988,2241,4,2240,0,
2342,0,2339,1627988,2341,2,2340,0,
2451,0,2440,1627988,2451,3,2440,0,
2542,0,2540,1627988,2542,6,2541,0,
2672,0,2670,1628944,2672,16,2671,0,
3052,0,2875,1630744,3051,23,2940,0,
3063,0,3061,1633404,3063,25,3061,1600000,
3070,0,3064,1633404,3067,0,3065,1600000,
3101,0,3096,1633652,3101,25,3098,1600000,
3203,0,3200,1644192,3202,22,3201,1600000,
3303,0,3300,1639576,3302,18,3301,1600000,
3306,1,3401,1639576,3403,16,3401,1600000,
3403,1,3501,1639748,3504,12,3502,1600000,
3504,1,3603,1639872,3605,13,3603,1600000,
3605,1,3703,1639872,3705,6,3704,1600000,
3705,1,3803,1639872,3807,5,3804,1600000,
3808,1,3903,1639972,3911,5,3904,1600000,
3912,1,4004,1640044,4010,9,4004,1600000,
4011,1,4104,1639972,4106,14,4105,1400000,
4107,1,4204,1639972,4207,10,4205,1400000,
4207,1,4305,1639972,4307,15,4305,1400000,
4307,1,4405,1639972,4409,6,4407,1400000,
4409,1,4505,1639972,4510,8,4506,1400000,
4510,1,4606,1640044,4609,13,4606,1400000,
4609,1,4707,1640044,4709,8,4707,1400000,
4710,1,4807,1639972,4811,10,4809,1400000,
4811,1,4907,1640004,4909,12,4908,1400000,
4910,1,5007,1640004,5011,13,5008,1400000,
5012,1,5108,1639756,5111,12,5109,1400000,
5111,1,5208,1639756,5210,0,5208,1400000,
5210,1,5308,1639756,5310,2,5309,1400000,
5311,1,5409,1639756,5411,2,5409,1400000,
5411,1,5509,1639756,5515,0,5509,1400000,
5516,1,5612,1639756,5614,1,5612,1400000,
5614,1,5709,1639756,5711,6,5710,1400000,
5711,1,5809,1639756,5812,2,5810,1400000,
5812,1,5910,1639708,5912,3,5910,1400000,
5912,1,6010,1639708,6013,2,6011,1400000,
6014,1,6110,1640408,6113,15,6111,1400000,
6113,1,6215,1640208,6217,15,6216,1600000,
6217,1,6319,1642016,6322,0,6319,1600000,
6324,1,6419,1643256,6421,6,6420,1600000,
6422,1,6520,1647844,6530,15,6522,1600000,
6539,1,6624,1652060,6629,25,6627,1600000,
6630,1,6720,1652060,6724,15,6721,1600000,
6725,1,6820,1652060,6823,20,6821,1600000,
6823,1,6921,1645240,6923,25,6922,1600000,
6924,1,7024,1644168,7026,25,7025,1600000,
7027,1,7129,1643848,7132,22,7129,1600000,
7133,1,7225,1640500,7227,15,7225,1600000,
7227,1,7325,1640624,7327,7,7326,1400000,
