App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 12:45:21 AM","56 min 47 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
2,0,0,1573560,1,0,0,0,
108,0,103,1577032,107,25,103,0,
208,0,206,1577024,207,12,206,0,
308,0,306,1571836,308,5,307,0,
419,0,409,1571836,419,3,411,0,
510,0,508,1571836,509,7,508,0,
611,0,608,1571836,610,4,609,0,
713,0,709,1571820,711,7,710,0,
856,0,812,1571820,855,4,812,0,
915,0,913,1571820,915,12,913,0,
1023,0,1013,1571820,1023,2,1014,0,
1136,0,1113,1571820,1122,2,1114,0,
1216,0,1213,1571820,1215,5,1214,0,
1316,0,1314,1571820,1316,2,1314,0,
1426,0,1414,1571820,1421,4,1414,0,
1516,0,1514,1571820,1516,4,1515,0,
1617,0,1615,1571820,1617,3,1615,0,
1727,0,1715,1571820,1726,4,1716,0,
1818,0,1816,1571820,1818,5,1816,0,
1918,0,1916,1571820,1918,2,1916,0,
2031,0,2016,1571820,2030,2,2017,0,
2118,0,2116,1571820,2118,6,2117,0,
2219,0,2217,1571820,2219,2,2217,0,
2327,0,2317,1571820,2326,2,2317,0,
2419,0,2417,1571820,2419,4,2417,0,
2519,0,2517,1571820,2519,4,2518,0,
2627,0,2618,1571820,2626,2,2618,0,
2758,0,2756,1572536,2758,17,2757,0,
3159,0,3015,1574808,3158,22,3143,0,
3164,0,3159,1576956,3163,0,3160,0,
3179,0,3164,1577080,3179,0,3165,1600000,
3195,0,3193,1577204,3195,12,3193,1600000,
3296,0,3294,1588000,3296,20,3294,1600000,
3384,1,3395,1583456,3407,17,3396,1600000,
3407,1,3495,1583456,3498,12,3496,1600000,
3499,1,3596,1583580,3598,10,3597,1600000,
3598,1,3696,1583564,3701,5,3697,1600000,
3701,1,3797,1583316,3799,9,3798,1600000,
3799,1,3898,1583316,3900,7,3898,1600000,
3901,1,4000,1583316,4006,8,4000,1600000,
4008,1,4100,1583316,4102,13,4100,1600000,
4103,1,4200,1583316,4203,12,4201,1400000,
4204,1,4300,1583316,4304,10,4302,1400000,
4304,1,4401,1583316,4403,10,4401,1400000,
4403,1,4502,1583316,4504,6,4502,1400000,
4504,1,4602,1583316,4609,8,4603,1400000,
4610,1,4702,1583300,4705,8,4703,1400000,
4705,1,4803,1583300,4805,10,4803,1400000,
