App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 04:28:30 PM","15 min 46 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
2,0,0,1577752,2,0,1,0,
110,0,104,1581224,109,25,108,0,
207,0,206,1581224,207,17,206,0,
318,0,308,1576128,313,7,308,0,
408,0,406,1576228,408,11,406,0,
509,0,506,1576228,508,2,507,0,
609,0,607,1576228,609,6,607,0,
717,0,707,1576228,717,3,707,0,
810,0,807,1576352,810,6,808,0,
923,0,913,1576352,915,7,913,0,
1011,0,1009,1576352,1011,6,1009,0,
1111,0,1109,1576352,1111,4,1109,0,
1211,0,1209,1576352,1211,2,1209,0,
1312,0,1310,1576352,1312,0,1310,0,
1419,0,1410,1576352,1418,2,1410,0,
1512,0,1510,1576352,1512,7,1510,0,
1612,0,1610,1576352,1612,2,1611,0,
1712,0,1710,1576352,1712,2,1711,0,
1818,0,1811,1576352,1817,3,1813,0,
1923,0,1911,1576352,1918,0,1912,0,
2014,0,2011,1576352,2014,8,2012,0,
2114,0,2112,1576352,2114,1,2112,0,
2214,0,2212,1576352,2214,2,2212,0,
2315,0,2312,1576352,2314,7,2313,0,
2424,0,2412,1576352,2423,2,2413,0,
2515,0,2512,1576352,2514,8,2513,0,
2615,0,2613,1576352,2615,4,2613,0,
3176,0,2967,1578300,3076,18,2978,0,
3181,0,3177,1581604,3181,25,3177,1600000,
3189,0,3181,1581604,3189,0,3182,1600000,
3209,0,3189,1581728,3208,25,3193,1600000,
3212,0,3209,1581728,3212,0,3210,1600000,
3296,0,3293,1591400,3296,15,3294,1600000,
3395,0,3393,1591196,3395,20,3393,1600000,
3411,1,3494,1591232,3496,10,3494,1600000,
3496,1,3594,1591232,3596,13,3594,1600000,
3596,1,3694,1591288,3696,16,3695,1600000,
3697,1,3795,1591476,3797,5,3795,1600000,
3797,1,3896,1591476,3903,2,3897,1600000,
3904,1,3996,1591476,3999,9,3997,1600000,
4000,1,4098,1591476,4100,10,4098,1600000,
4100,1,4198,1591476,4200,7,4198,1400000,
4201,1,4298,1591476,4301,9,4299,1400000,
4301,1,4400,1591476,4402,8,4400,1400000,
4403,1,4499,1591476,4503,13,4500,1400000,
4504,1,4600,1591428,4602,8,4600,1400000,
4602,1,4700,1591616,4705,14,4700,1400000,
4706,1,4800,1591616,4803,10,4801,1400000,
