App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 01:31:03 PM","20 min 0 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
3,0,0,1624152,3,0,1,0,
110,0,105,1627624,109,22,105,0,
208,0,206,1627748,208,11,207,0,
308,0,306,1623156,307,7,306,0,
409,0,406,1623156,409,4,407,0,
512,0,507,1623156,511,13,507,0,
609,0,607,1623156,609,6,607,0,
709,0,707,1623156,709,6,708,0,
810,0,808,1623156,810,4,808,0,
922,0,908,1623156,922,4,908,0,
1013,0,1011,1623528,1013,11,1011,0,
1114,0,1112,1623528,1114,4,1112,0,
1214,0,1212,1623528,1214,0,1213,0,
1315,0,1312,1623528,1314,0,1313,0,
1427,0,1413,1623528,1427,3,1413,0,
1519,0,1517,1623528,1519,4,1517,0,
1616,0,1613,1623528,1615,5,1614,0,
1716,0,1713,1623528,1715,0,1714,0,
1816,0,1814,1623528,1816,2,1814,0,
1923,0,1914,1623528,1922,1,1914,0,
2017,0,2015,1623528,2016,7,2015,0,
2117,0,2115,1623528,2117,8,2115,0,
2217,0,2215,1623528,2217,2,2215,0,
2317,0,2315,1623528,2317,6,2316,0,
2423,0,2415,1623528,2423,4,2416,0,
2519,0,2517,1623528,2519,5,2517,0,
3017,0,2687,1623864,2873,22,2762,0,
3037,0,3026,1628516,3037,25,3027,0,
3042,0,3039,1628696,3041,25,3039,1600000,
3049,0,3043,1628696,3048,0,3043,1600000,
3075,0,3072,1628944,3074,16,3073,1600000,
3178,0,3175,1639732,3178,22,3175,1600000,
3268,1,3275,1634868,3279,18,3276,1600000,
3279,1,3375,1634868,3377,15,3376,1600000,
3377,1,3476,1634868,3481,5,3477,1600000,
3481,1,3576,1634992,3578,11,3576,1600000,
3578,1,3677,1635064,3683,6,3677,1600000,
3683,1,3776,1634992,3778,7,3777,1600000,
3778,1,3877,1635064,3880,7,3877,1600000,
3880,1,3977,1635040,3985,15,3978,1600000,
3986,1,4078,1635040,4080,10,4078,1400000,
4081,1,4178,1634968,4180,10,4179,1400000,
4181,1,4278,1635040,4281,13,4279,1400000,
4282,1,4379,1634968,4380,13,4379,1400000,
4381,1,4479,1635040,4483,10,4480,1400000,
4484,1,4579,1635040,4584,13,4580,1400000,
4584,1,4679,1635040,4689,6,4680,1400000,
4689,1,4781,1635040,4784,12,4782,1400000,
4785,1,4880,1635040,4882,13,4881,1400000,
4883,1,4981,1635140,4984,13,4981,1400000,
4985,1,5081,1635140,5084,13,5082,1400000,
5084,1,5181,1635140,5183,0,5181,1400000,
5183,1,5281,1635140,5284,2,5282,1400000,
5284,1,5382,1635140,5384,3,5382,1400000,
5384,1,5482,1635140,5485,0,5482,1400000,
5486,1,5582,1635140,5585,5,5583,1400000,
5585,1,5682,1635140,5684,0,5683,1600000,
5684,1,5783,1635140,5785,0,5783,1400000,
5785,1,5883,1635140,5885,0,5883,1400000,
5885,1,5983,1635196,5992,6,5984,1400000,
5993,1,6086,1635072,6088,23,6086,1600000,
6088,1,6186,1635692,6189,6,6187,1400000,
6189,1,6286,1637748,6288,5,6287,1600000,
6288,1,6386,1639360,6389,2,6387,1600000,
6389,1,6488,1646624,6500,20,6488,1600000,
6501,1,6588,1647368,6590,17,6589,1600000,
6593,1,6689,1647368,6692,20,6690,1600000,
6692,1,6790,1637448,6793,22,6790,1600000,
6817,1,6852,1640672,6854,25,6852,1600000,
6855,1,6952,1635972,6962,20,6952,1600000,
6963,1,7053,1636220,7058,50,7054,1600000,
7058,1,7153,1633244,7156,13,7154,1400000,
7156,1,7254,1633244,7258,1,7254,1400000,
7258,1,7354,1633244,7359,2,7354,1400000,
7359,1,7454,1633244,7457,10,7455,1400000,
7457,1,7554,1633244,7557,6,7555,1400000,
7558,1,7656,1633244,7659,4,7656,1400000,
7659,1,7756,1633244,7761,3,7757,1400000,
7761,1,7856,1633244,7860,9,7857,1400000,
7860,1,7957,1633260,7960,4,7957,1400000,
7960,1,8057,1633260,8061,0,8058,1400000,
8061,1,8158,1633260,8163,3,8159,1400000,
8164,1,8259,1633260,8262,9,8259,1400000,
8262,1,8359,1633260,8362,1,8360,1400000,
8362,1,8459,1633384,8462,4,8460,1400000,
8462,1,8560,1633384,8564,4,8560,1400000,
8565,1,8660,1633260,8663,5,8660,1400000,
8663,1,8760,1632888,8763,2,8761,1400000,
8763,1,8860,1632888,8863,5,8861,1400000,
8864,1,8961,1632856,8969,4,8961,1400000,
8969,1,9061,1632848,9064,13,9061,1400000,
9064,1,9161,1632848,9164,4,9162,1400000,
9164,1,9261,1632848,9266,10,9262,1400000,
9266,1,9362,1632848,9367,2,9363,1400000,
9367,1,9462,1632848,9465,3,9463,1400000,
9465,1,9563,1632848,9565,2,9563,1400000,
9566,1,9663,1632848,9666,4,9663,1400000,
9666,1,9763,1632848,9768,0,9764,1400000,
9768,1,9863,1632848,9866,3,9864,1400000,
9866,1,9967,1632972,9972,5,9968,1400000,
9972,1,10067,1632972,10070,2,10067,1400000,
10070,1,10167,1632972,10173,4,10167,1400000,
10173,1,10268,1632972,10270,5,10268,1400000,
10271,1,10368,1633096,10371,1,10369,1400000,
10371,1,10468,1633096,10471,2,10469,1400000,
10472,1,10569,1633096,10574,5,10570,1400000,
10574,1,10670,1633096,10673,2,10670,1400000,
10673,1,10770,1633612,10773,4,10770,1600000,
10773,1,10872,1632744,10876,19,10873,1400000,
10876,1,10975,1634680,10990,26,10977,1600000,
10990,1,11074,1635920,11077,30,11074,1600000,
11077,1,11174,1637532,11177,25,11174,1600000,
11177,1,11275,1638364,11280,27,11275,1600000,
11280,1,11375,1632412,11383,14,11376,1400000,
11385,1,11475,1627772,11478,38,11476,1600000,
11479,1,11576,1633600,11580,30,11576,1400000,
11580,1,11676,1633724,11681,14,11676,1600000,
11681,1,11776,1634716,11789,32,11777,1400000,
11790,1,11877,1636524,11883,21,11878,1400000,
11883,1,11977,1640988,11981,30,11978,1400000,
11981,1,12077,1642352,12083,24,12078,1400000,
12084,1,12179,1641236,12190,35,12181,1500000,
12195,1,12280,1642724,12284,31,12281,1600000,
12285,1,12384,1642724,12392,21,12385,1400000,
12393,1,12483,1645204,12487,10,12484,1600000,
12487,1,12584,1643716,12595,14,12584,1600000,
12595,1,12684,1644832,12688,23,12684,1500000,
12689,1,12785,1646568,12788,24,12786,1600000,
12788,1,12886,1648924,12890,30,12886,1600000,
12890,1,12986,1650676,12997,27,12986,1600000,
12998,1,13086,1651172,13090,28,13087,1600000,
13091,1,13189,1659976,13201,42,13190,1600000,
13201,1,13287,1675104,13290,30,13288,1600000,
13290,1,13388,1675104,13392,15,13388,1600000,
13393,1,13489,1675352,13493,24,13489,1400000,
13493,1,13589,1675352,13594,20,13589,1600000,
13595,1,13689,1679708,13693,19,13689,1600000,
