App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 11:19:26 PM","57 min 7 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
2,0,0,1599640,2,0,1,0,
110,0,108,1603112,110,25,108,0,
212,0,210,1603344,212,19,210,0,
312,0,310,1598296,312,10,311,0,
421,0,411,1598296,417,4,411,0,
515,0,513,1598296,515,8,514,0,
615,0,613,1598296,615,4,614,0,
722,0,715,1598296,722,4,715,0,
817,0,815,1598296,817,10,815,0,
917,0,915,1598296,917,1,915,0,
1027,0,1015,1598296,1027,9,1016,0,
1118,0,1116,1598296,1117,6,1116,0,
1218,0,1216,1598264,1218,2,1216,0,
1328,0,1317,1598264,1327,2,1317,0,
1419,0,1417,1598264,1419,7,1417,0,
1519,0,1517,1598264,1519,0,1517,0,
1627,0,1617,1598264,1626,2,1618,0,
1722,0,1720,1598264,1722,7,1720,0,
1824,0,1822,1598264,1824,0,1822,0,
1932,0,1921,1598264,1932,2,1921,0,
2023,0,2021,1598264,2023,5,2022,0,
2124,0,2122,1598264,2123,2,2122,0,
2234,0,2222,1598264,2233,1,2223,0,
2325,0,2322,1598264,2324,6,2323,0,
2425,0,2423,1598264,2425,2,2423,0,
2532,0,2523,1598264,2531,2,2523,0,
2643,0,2641,1598476,2643,8,2641,0,
3083,0,2892,1600624,3063,23,2921,0,
3093,0,3088,1603268,3093,25,3090,1600000,
3112,0,3093,1603516,3112,0,3094,1600000,
3115,0,3113,1603516,3115,0,3113,1600000,
3217,0,3214,1613560,3217,20,3215,1600000,
3304,1,3314,1609512,3317,20,3314,1600000,
3317,1,3414,1609636,3416,12,3415,1600000,
3417,1,3515,1609760,3524,12,3515,1600000,
3525,1,3615,1609760,3621,11,3617,1600000,
3621,1,3715,1609760,3717,11,3716,1600000,
3718,1,3816,1609688,3819,11,3817,1600000,
3819,1,3916,1609688,3921,11,3916,1600000,
3921,1,4017,1609688,4022,5,4018,1600000,
4023,1,4117,1609688,4119,15,4118,1400000,
4120,1,4218,1609760,4236,9,4219,1400000,
4236,1,4318,1609760,4320,13,4318,1400000,
4321,1,4418,1609760,4420,9,4418,1400000,
4420,1,4521,1609760,4526,7,4521,1400000,
4529,1,4621,1609760,4624,12,4622,1400000,
4624,1,4721,1609760,4725,10,4722,1400000,
4726,1,4822,1609760,4837,11,4822,1400000,
4839,1,4922,1609760,4924,13,4922,1400000,
4924,1,5022,1609760,5024,9,5023,1400000,
5025,1,5123,1609760,5126,8,5123,1400000,
5127,1,5223,1609752,5225,4,5223,1400000,
5225,1,5323,1609752,5325,2,5323,1400000,
5325,1,5423,1609752,5431,2,5424,1400000,
5432,1,5523,1609876,5525,3,5524,1400000,
5526,1,5624,1609876,5626,2,5624,1400000,
5626,1,5724,1609876,5731,4,5724,1400000,
5732,1,5824,1609876,5826,2,5825,1400000,
5826,1,5924,1609876,5926,2,5925,1400000,
5927,1,6025,1609876,6031,0,6025,1600000,
6032,1,6131,1610320,6133,15,6132,1400000,
6133,1,6236,1610228,6238,15,6236,1600000,
6238,1,6346,1612284,6356,2,6346,1600000,
6357,1,6447,1614020,6454,7,6447,1600000,
6458,1,6550,1617864,6553,16,6550,1600000,
6553,1,6650,1622204,6664,20,6654,1600000,
6666,1,6752,1622276,6754,20,6752,1600000,
6754,1,6852,1622284,6854,21,6853,1600000,
6855,1,6952,1612860,6962,25,6953,1600000,
6964,1,7054,1608272,7063,38,7054,1600000,
7065,1,7154,1608036,7160,24,7154,1600000,
7160,1,7254,1604408,7257,11,7254,1400000,
7257,1,7354,1604408,7359,4,7354,1400000,
7359,1,7454,1604532,7457,6,7455,1400000,
7457,1,7555,1604532,7559,3,7555,1400000,
7559,1,7655,1604532,7658,4,7655,1400000,
7658,1,7755,1604532,7758,3,7755,1400000,
7760,1,7855,1604532,7858,4,7856,1400000,
7859,1,7956,1604532,7959,4,7956,1400000,
7959,1,8056,1604532,8059,8,8056,1400000,
8059,1,8156,1604548,8159,4,8156,1400000,
8159,1,8256,1604564,8259,6,8257,1400000,
8259,1,8356,1604564,8359,2,8357,1400000,
8359,1,8457,1604564,8460,6,8457,1400000,
8460,1,8557,1604564,8560,1,8557,1400000,
8560,1,8657,1604440,8660,4,8658,1400000,
8660,1,8757,1604440,8760,1,8758,1400000,
8760,1,8858,1604316,8863,4,8859,1400000,
8863,1,8958,1604316,8961,0,8958,1400000,
8961,1,9058,1604316,9061,6,9059,1400000,
9061,1,9158,1604308,9161,3,9159,1400000,
9161,1,9259,1604268,9261,9,9259,1400000,
9262,1,9359,1604268,9361,2,9359,1400000,
9362,1,9459,1604268,9462,2,9459,1400000,
9462,1,9509,1604268,9512,0,9510,1400000,
9512,1,9610,1604392,9623,3,9611,1400000,
9623,1,9711,1604268,9714,12,9711,1400000,
9714,1,9811,1604268,9822,2,9811,1400000,
9822,1,9911,1604144,9914,8,9911,1400000,
9914,1,10011,1604144,10014,4,10012,1400000,
10014,1,10111,1604144,10114,6,10112,1400000,
10114,1,10212,1604268,10214,1,10212,1400000,
10215,1,10312,1604144,10315,2,10312,1400000,
10315,1,10413,1604144,10417,2,10413,1400000,
10418,1,10512,1604144,10515,6,10513,1400000,
10515,1,10613,1604144,10615,4,10613,1400000,
10616,1,10713,1604144,10716,4,10713,1400000,
10716,1,10863,1604660,10871,13,10864,1400000,
10871,1,10914,1603668,10917,35,10914,1600000,
10917,1,11014,1604412,11017,2,11014,1500000,
11018,1,11165,1606956,11168,5,11165,1600000,
11168,1,11215,1608016,11218,11,11215,1600000,
11218,1,11315,1609008,11319,10,11316,1600000,
11319,1,11420,1609856,11423,22,11420,1400000,
11423,1,11520,1606040,11541,36,11522,1600000,
11541,1,11620,1608344,11624,33,11621,1600000,
11624,1,11723,1612312,11729,30,11724,1500000,
11730,1,11827,1609656,11831,30,11827,1600000,
11831,1,11925,1614988,11933,25,11926,1500000,
11933,1,12025,1619824,12029,33,12026,1400000,
12031,1,12126,1621188,12133,23,12126,1400000,
12134,1,12227,1623096,12234,26,12229,1400000,
12234,1,12327,1620988,12330,10,12327,1600000,
12330,1,12428,1621732,12433,24,12429,1400000,
12433,1,12527,1623592,12531,9,12528,1400000,
12532,1,12628,1623344,12631,19,12628,1600000,
12632,1,12728,1623716,12732,23,12729,1400000,
12732,1,12829,1625328,12833,29,12830,1600000,
12833,1,12931,1627188,12934,34,12931,1600000,
12934,1,13031,1629668,13036,27,13034,1600000,
13037,1,13131,1629792,13137,30,13132,1600000,
13138,1,13235,1631172,13243,45,13235,1600000,
13243,1,13335,1633280,13338,30,13335,1600000,
13338,1,13435,1633280,13439,29,13435,1600000,
13439,1,13535,1637000,13539,32,13536,1600000,
13540,1,13636,1646424,13642,42,13637,1600000,
13642,1,13736,1656220,13740,22,13736,1600000,
13741,1,13836,1656468,13839,26,13837,1600000,
13839,1,13936,1656468,13940,22,13937,1400000,
13940,1,14037,1657088,14040,30,14037,1600000,
14040,1,14137,1662544,14140,35,14138,1600000,
14140,1,14241,1667728,14245,32,14242,1600000,
14245,1,14338,1668596,14343,34,14338,1600000,
14343,1,14439,1673308,14455,34,14440,1600000,
14456,1,14539,1680004,14544,35,14540,1600000,
14545,1,14639,1692776,14644,35,14639,1400000,
14644,1,14739,1693892,14745,21,14741,1600000,
14745,1,14839,1698480,14857,27,14842,1600000,
14864,1,14946,1685236,14951,42,14947,1600000,
14952,1,15047,1660064,15051,18,15047,1600000,
15052,1,15147,1660676,15150,29,15147,1600000,
15150,1,15247,1661164,15256,36,15248,1600000,
15256,1,15348,1660288,15351,25,15349,1600000,
15351,1,15448,1660412,15461,27,15448,1600000,
15461,1,15548,1661280,15552,27,15548,1600000,
15552,1,15649,1661900,15652,27,15649,1600000,
15652,1,15749,1662272,15751,30,15749,1600000,
15751,1,15849,1662892,15851,29,15849,1600000,
15852,1,15950,1663388,15953,11,15950,1400000,
15953,1,16049,1663884,16052,20,16050,1600000,
16052,1,16150,1665620,16153,32,16150,1600000,
16154,1,16250,1665868,16253,35,16251,1600000,
16254,1,16350,1666364,16354,37,16351,1600000,
16354,1,16451,1667108,16454,25,16451,1600000,
16454,1,16551,1667976,16554,8,16552,1600000,
16554,1,16652,1668844,16655,2,16652,1600000,
16656,1,16752,1667852,16756,12,16753,1600000,
16756,1,16852,1668224,16855,5,16853,1600000,
16855,1,16953,1668472,16956,28,16953,1600000,
16956,1,17053,1668720,17056,27,17054,1600000,
17056,1,17154,1668844,17158,8,17154,1400000,
17158,1,17254,1668968,17257,4,17254,1600000,
17258,1,17354,1669092,17358,7,17355,1600000,
17358,1,17455,1669960,17459,5,17455,1600000,
17459,1,17555,1669960,17559,7,17556,1600000,
17559,1,17655,1669960,17659,2,17656,1600000,
17659,1,17756,1669960,17759,14,17756,1600000,
17759,1,17856,1669960,17859,25,17857,1600000,
17860,1,17956,1669960,17960,28,17957,1600000,
17961,1,18056,1670084,18060,28,18057,1500000,
18060,1,18157,1670208,18160,27,18157,1600000,
18160,1,18257,1670208,18260,25,18258,1600000,
18260,1,18357,1670332,18360,25,18358,1600000,
18360,1,18460,1670456,18464,13,18461,1400000,
18465,1,18561,1671324,18563,27,18561,1600000,
18563,1,18661,1671324,18663,23,18661,1600000,
18664,1,18761,1671324,18764,32,18762,1600000,
18764,1,18861,1671324,18864,0,18862,1600000,
18864,1,18963,1671324,18967,4,18963,1600000,
18968,1,19062,1672068,19066,6,19063,1600000,
19066,1,19162,1672068,19168,5,19163,1600000,
19168,1,19262,1672192,19265,7,19263,1600000,
19266,1,19363,1672192,19371,5,19364,1600000,
19373,1,19463,1672936,19466,5,19464,1600000,
19466,1,19563,1672936,19571,10,19564,1400000,
19571,1,19664,1672936,19668,7,19665,1600000,
19668,1,19764,1673060,19769,2,19764,1600000,
19769,1,19864,1673060,19867,10,19865,1600000,
19867,1,19964,1673928,19969,28,19965,1600000,
19969,1,20065,1673928,20068,14,20065,1600000,
20068,1,20165,1673928,20168,2,20166,1600000,
20168,1,20265,1673928,20269,5,20266,1600000,
20269,1,20366,1674052,20369,2,20366,1600000,
20369,1,20466,1674672,20469,7,20467,1600000,
20469,1,20566,1674796,20569,4,20567,1600000,
20569,1,20667,1674796,20670,3,20667,1600000,
20670,1,20768,1674796,20772,7,20769,1600000,
20772,1,20868,1674920,20880,9,20870,1600000,
20881,1,20969,1675664,20972,7,20969,1600000,
20972,1,21069,1675664,21072,7,21069,1600000,
21073,1,21169,1675912,21172,5,21170,1600000,
21173,1,21270,1676036,21274,9,21271,1600000,
21274,1,21371,1676408,21374,7,21371,1600000,
21374,1,21471,1676904,21475,13,21472,1600000,
21475,1,21571,1677152,21575,10,21572,1600000,
21575,1,21673,1678392,21679,8,21675,1600000,
21679,1,21772,1678888,21776,7,21773,1600000,
21776,1,21873,1679260,21876,7,21873,1600000,
21877,1,21973,1679632,21976,20,21974,1600000,
21977,1,22073,1681864,22077,28,22074,1600000,
22077,1,22173,1681888,22176,9,22174,1400000,
22176,1,22274,1681888,22277,4,22274,1400000,
22277,1,22374,1681888,22377,2,22375,1400000,
22377,1,22474,1681888,22477,6,22475,1400000,
22477,1,22575,1683996,22579,3,22575,1400000,
22579,1,22675,1684244,22678,9,22675,1600000,
22678,1,22775,1684244,22778,4,22776,1400000,
22778,1,22875,1684476,22878,4,22876,1400000,
22879,1,22978,1684476,22981,4,22979,1400000,
22981,1,23079,1684328,23083,6,23079,1400000,
23083,1,23179,1684368,23182,2,23179,1400000,
23182,1,23279,1684368,23282,2,23279,1400000,
23282,1,23379,1684368,23382,2,23380,1400000,
23382,1,23480,1684592,23486,4,23480,1400000,
23486,1,23580,1684344,23583,2,23581,1400000,
23584,1,23681,1684344,23685,8,23681,1400000,
23685,1,23784,1684468,23787,4,23784,1400000,
23787,1,23884,1684344,23888,2,23884,1400000,
23888,1,23984,1684344,23987,2,23985,1400000,
23987,1,24085,1684344,24089,8,24085,1400000,
24090,1,24185,1684492,24188,5,24186,1400000,
24188,1,24289,1684492,24293,4,24289,1400000,
24293,1,24390,1684492,24393,3,24390,1400000,
24393,1,24489,1684492,24493,4,24489,1400000,
24494,1,24589,1684492,24594,4,24590,1400000,
24594,1,24690,1684492,24692,2,24690,1400000,
24693,1,24792,1684492,24795,4,24792,1400000,
24795,1,24892,1684492,24895,4,24892,1400000,
24895,1,24992,1684492,24995,2,24993,1400000,
24995,1,25094,1684492,25098,17,25094,1400000,
25098,1,25194,1684492,25197,11,25194,1400000,
25197,1,25294,1684492,25297,13,25294,1400000,
25297,1,25394,1684492,25397,10,25395,1400000,
25398,1,25494,1684492,25497,11,25495,1400000,
25498,1,25595,1684492,25598,13,25595,1400000,
25598,1,25695,1684492,25698,14,25696,1400000,
25698,1,25795,1684492,25798,9,25796,1400000,
25798,1,25896,1684492,25899,10,25896,1400000,
25899,1,25996,1684492,25999,15,25997,1400000,
26000,1,26096,1684492,26100,15,26097,1400000,
26101,1,26196,1684616,26200,16,26197,1400000,
26200,1,26297,1684616,26300,13,26297,1400000,
26300,1,26397,1684616,26400,13,26397,1400000,
26400,1,26497,1684616,26503,15,26498,1400000,
26504,1,26600,1684592,26603,16,26600,1400000,
26603,1,26700,1684592,26703,16,26701,1400000,
26703,1,26800,1684592,26804,12,26801,1400000,
26804,1,26901,1684592,26903,9,26901,1400000,
26904,1,27001,1684592,27004,8,27001,1400000,
27004,1,27101,1684592,27104,10,27102,1400000,
27104,1,27201,1684616,27205,13,27202,1400000,
27205,1,27302,1684616,27305,11,27302,1400000,
27305,1,27402,1684840,27405,15,27402,1400000,
27405,1,27502,1684840,27506,8,27503,1400000,
27506,1,27603,1684840,27611,14,27603,1400000,
27611,1,27703,1684840,27706,13,27703,1400000,
27707,1,27803,1684840,27807,13,27804,1400000,
27808,1,27903,1684840,27906,5,27904,1400000,
27906,1,28004,1684840,28008,2,28004,1400000,
28008,1,28104,1684840,28107,6,28105,1400000,
28108,1,28204,1684864,28209,2,28205,1400000,
28210,1,28305,1684864,28308,3,28305,1400000,
28308,1,28405,1684864,28409,6,28405,1400000,
28409,1,28505,1684864,28508,2,28505,1400000,
28509,1,28605,1684864,28608,4,28606,1400000,
28608,1,28705,1684864,28708,9,28706,1400000,
28709,1,28806,1684864,28809,4,28806,1400000,
28809,1,28906,1684964,28909,9,28906,1400000,
28909,1,29006,1684964,29009,2,29007,1400000,
29010,1,29106,1684964,29110,10,29107,1400000,
29110,1,29207,1684988,29210,4,29207,1400000,
29210,1,29307,1684988,29310,2,29307,1400000,
29310,1,29357,1684988,29360,4,29358,1400000,
29360,1,29457,1684988,29460,8,29458,1400000,
29460,1,29558,1684988,29561,2,29558,1400000,
29561,1,29658,1684988,29661,10,29658,1400000,
29661,1,29758,1684988,29761,3,29758,1400000,
29761,1,29858,1684988,29862,2,29859,1400000,
29862,1,29959,1684988,29962,4,29959,1400000,
29962,1,30059,1684988,30068,7,30063,1400000,
30069,1,30159,1684988,30162,7,30159,1400000,
30162,1,30260,1684988,30274,3,30261,1400000,
30274,1,30359,1684988,30362,7,30360,1400000,
30363,1,30460,1684988,30464,2,30460,1400000,
30464,1,30560,1684988,30565,4,30561,1400000,
30565,1,30660,1684988,30670,6,30661,1400000,
30671,1,30760,1684988,30764,6,30761,1400000,
30764,1,30861,1684988,30864,1,30861,1400000,
30864,1,30961,1684988,30964,4,30961,1400000,
30964,1,31062,1684988,31067,6,31062,1400000,
31068,1,31162,1684964,31164,5,31162,1400000,
31165,1,31262,1684988,31265,1,31262,1400000,
31265,1,31362,1684988,31365,6,31362,1400000,
31365,1,31462,1684988,31465,0,31463,1400000,
31465,1,31562,1684988,31569,6,31563,1400000,
31569,1,31663,1684988,31665,6,31663,1400000,
31666,1,31763,1684988,31766,6,31763,1400000,
31766,1,31863,1684988,31866,6,31863,1400000,
31866,1,31963,1684988,31966,4,31964,1400000,
31966,1,32066,1684988,32070,5,32066,1400000,
32070,1,32164,1684988,32167,2,32164,1400000,
32167,1,32264,1684988,32267,4,32264,1400000,
32267,1,32364,1684988,32367,9,32365,1400000,
32367,1,32465,1684988,32467,1,32465,1400000,
32468,1,32566,1684988,32570,3,32566,1400000,
32570,1,32666,1684988,32669,4,32666,1400000,
32669,1,32766,1684988,32769,8,32767,1400000,
32769,1,32866,1684988,32869,1,32867,1400000,
32869,1,32966,1684988,32970,3,32967,1400000,
32970,1,33067,1684988,33071,3,33068,1400000,
33071,1,33167,1684988,33170,4,33167,1400000,
33170,1,33267,1684988,33270,8,33268,1400000,
33270,1,33367,1684988,33370,25,33368,1600000,
33370,1,33468,1685236,33470,30,33468,1600000,
33470,1,33568,1685236,33572,27,33569,1600000,
33572,1,33668,1685236,33671,10,33669,1600000,
33671,1,33768,1685236,33772,4,33769,1400000,
33772,1,33869,1685236,33872,1,33869,1400000,
33872,1,33969,1685236,33972,6,33969,1400000,
