App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 04:04:44 PM","15 min 35 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
2,0,0,1582724,2,0,0,0,
98,0,96,1585080,98,25,97,0,
198,0,197,1586312,198,19,197,0,
313,0,311,1581388,313,8,312,0,
412,0,401,1581264,408,2,401,0,
500,0,497,1581356,499,6,498,0,
615,0,612,1581356,614,6,613,0,
701,0,698,1581356,701,4,699,0,
815,0,804,1581356,811,2,804,0,
915,0,913,1581480,915,11,913,0,
1007,0,999,1581604,1007,4,1001,0,
1102,0,1099,1581604,1101,4,1100,0,
1216,0,1214,1581604,1216,3,1214,0,
1302,0,1300,1581604,1302,4,1300,0,
1402,0,1400,1581604,1402,0,1400,0,
1518,0,1515,1581604,1518,3,1515,0,
1603,0,1601,1581604,1603,0,1601,0,
1703,0,1701,1581604,1703,1,1701,0,
1818,0,1815,1581604,1818,5,1816,0,
1904,0,1901,1581604,1904,4,1902,0,
2013,0,2009,1581728,2012,3,2011,0,
2128,0,2121,1581728,2127,3,2126,0,
2205,0,2202,1581728,2204,2,2203,0,
2305,0,2302,1581728,2305,4,2303,0,
2420,0,2417,1581728,2419,7,2418,0,
2505,0,2503,1581728,2505,2,2503,0,
3043,0,2714,1581948,2870,18,2854,0,
3072,0,3070,1586616,3072,25,3071,1600000,
3075,0,3073,1586616,3075,0,3073,1600000,
3078,0,3076,1586616,3077,0,3076,1600000,
3093,0,3091,1586616,3093,25,3092,1600000,
3157,0,3146,1588104,3155,12,3147,1600000,
3247,0,3245,1597528,3247,25,3245,1600000,
3299,1,3360,1592896,3362,10,3360,1600000,
3362,1,3449,1592968,3450,16,3449,1600000,
3451,1,3549,1592968,3552,8,3550,1600000,
3552,1,3674,1592984,3676,13,3674,1600000,
3676,1,3750,1593108,3753,12,3750,1600000,
3754,1,3850,1593108,3852,7,3850,1600000,
3852,1,3965,1593232,3967,11,3966,1600000,
3968,1,4050,1593232,4053,8,4051,1600000,
4053,1,4151,1593232,4155,10,4152,1400000,
4156,1,4273,1592984,4276,8,4273,1400000,
4276,1,4356,1592904,4359,7,4357,1400000,
4359,1,4455,1592976,4457,7,4456,1400000,
4458,1,4575,1593016,4578,5,4576,1400000,
4578,1,4656,1592984,4659,12,4656,1400000,
4659,1,4756,1592984,4758,12,4756,1400000,
4759,1,4884,1592984,4886,14,4884,1400000,
4886,1,4956,1593092,4960,10,4957,1400000,
4960,1,5057,1593216,5059,9,5057,1400000,
5059,1,5171,1593340,5173,5,5172,1400000,
5173,1,5257,1593340,5259,2,5258,1400000,
5260,1,5357,1593216,5359,1,5358,1400000,
5360,1,5473,1593216,5476,1,5474,1400000,
5476,1,5558,1593216,5563,2,5561,1400000,
5563,1,5659,1593120,5661,0,5659,1400000,
5663,1,5775,1593120,5777,0,5776,1400000,
5777,1,5859,1593120,5861,2,5860,1400000,
5861,1,5959,1593660,5962,18,5960,1600000,
5962,1,6078,1593908,6081,11,6079,1600000,
6081,1,6165,1595700,6167,5,6165,1600000,
6167,1,6265,1597064,6268,5,6265,1600000,
6269,1,6440,1605328,6445,19,6441,1600000,
6445,1,6520,1605328,6525,25,6521,1600000,
6525,1,6620,1605468,6629,20,6621,1600000,
6635,1,6711,1595052,6714,25,6712,1600000,
6715,1,6773,1595176,6775,25,6773,1600000,
6780,1,6873,1590304,6881,25,6877,1600000,
6883,1,6989,1590252,6992,22,6990,1600000,
6993,1,7074,1586904,7075,3,7074,1600000,
7076,1,7175,1587028,7177,4,7176,1400000,
7178,1,7289,1587028,7293,3,7290,1400000,
7293,1,7376,1587028,7380,8,7376,1400000,
7380,1,7495,1587316,7501,32,7496,1400000,
7501,1,7579,1588280,7583,42,7580,1600000,
7584,1,7703,1592000,7714,28,7703,1400000,
7715,1,7780,1594336,7786,41,7781,1600000,
7786,1,7895,1596996,7898,27,7896,1500000,
7898,1,7980,1598112,7983,8,7981,1600000,
7984,1,8100,1599228,8104,36,8100,1600000,
8104,1,8181,1599796,8188,40,8182,1600000,
8189,1,8297,1601124,8301,35,8298,1600000,
8302,1,8382,1601372,8385,19,8382,1400000,
8385,1,8498,1601372,8501,7,8499,1400000,
8501,1,8583,1601332,8586,5,8584,1400000,
8587,1,8700,1601372,8704,5,8700,1400000,
8704,1,8784,1601372,8786,4,8784,1400000,
8787,1,8898,1601372,8901,6,8899,1400000,
8901,1,8984,1601372,8987,4,8985,1400000,
8987,1,9100,1601372,9103,9,9100,1400000,
9103,1,9185,1601372,9188,2,9186,1400000,
9189,1,9299,1601372,9302,5,9300,1400000,
9303,1,9385,1601372,9388,4,9385,1400000,
9388,1,9499,1601372,9502,1,9500,1400000,
9503,1,9585,1601356,9588,0,9586,1400000,
9588,1,9698,1601324,9701,9,9699,1600000,
9701,1,9786,1601324,9789,0,9786,1600000,
