App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 01:00:04 PM","20 min 3 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
2,0,0,1585644,2,0,0,0,
108,0,103,1589364,105,25,103,0,
207,0,205,1589472,207,12,205,0,
307,0,305,1584548,307,6,306,0,
408,0,406,1584548,407,5,406,0,
510,0,508,1584516,510,3,508,0,
610,0,608,1584516,610,12,609,0,
712,0,709,1584516,712,5,710,0,
813,0,810,1584640,812,2,811,0,
913,0,911,1584640,913,1,912,0,
1021,0,1011,1584640,1020,4,1012,0,
1114,0,1112,1584764,1114,7,1113,0,
1214,0,1212,1584764,1214,2,1213,0,
1319,0,1317,1584888,1319,9,1317,0,
1419,0,1417,1584888,1419,2,1417,0,
1526,0,1517,1584888,1525,0,1518,0,
1621,0,1618,1584888,1620,6,1618,0,
1720,0,1718,1584888,1720,1,1718,0,
1820,0,1818,1584888,1820,4,1818,0,
1920,0,1918,1584888,1920,2,1918,0,
2031,0,2019,1584888,2030,8,2019,0,
2121,0,2119,1584888,2121,9,2119,0,
2221,0,2219,1584888,2221,2,2219,0,
2321,0,2319,1584888,2321,2,2320,0,
2423,0,2421,1584888,2423,2,2421,0,
2531,0,2520,1584888,2530,5,2520,0,
2667,0,2665,1585844,2667,17,2666,0,
3063,0,2930,1587868,3043,23,2958,0,
3073,0,3068,1589892,3072,25,3069,1600000,
3082,0,3077,1589892,3082,25,3080,1600000,
3094,0,3092,1589892,3094,0,3092,1600000,
3202,0,3199,1597580,3202,15,3200,1600000,
3296,0,3293,1599980,3295,21,3293,1600000,
3337,1,3394,1600724,3396,17,3394,1600000,
3396,1,3494,1600824,3496,18,3494,1600000,
3496,1,3595,1600576,3598,22,3596,1600000,
3598,1,3652,1600476,3659,25,3653,1600000,
3659,1,3809,1600600,3817,16,3815,1600000,
3817,1,3854,1600600,3856,8,3855,1600000,
3857,1,3955,1603824,3975,11,3956,1600000,
3975,1,4056,1604196,4059,10,4056,1400000,
4059,1,4155,1604196,4164,14,4156,1400000,
4164,1,4255,1604196,4257,8,4256,1400000,
4258,1,4356,1604196,4358,8,4357,1400000,
4359,1,4457,1604212,4461,8,4457,1400000,
4461,1,4557,1604212,4559,9,4557,1400000,
4560,1,4657,1604212,4662,8,4657,1400000,
4663,1,4757,1604016,4760,15,4758,1400000,
4760,1,4857,1604088,4860,8,4858,1400000,
4860,1,4958,1604088,4960,9,4958,1400000,
4960,1,5060,1604016,5062,11,5060,1400000,
5063,1,5159,1604088,5165,7,5159,1400000,
5166,1,5259,1604088,5261,0,5259,1400000,
5261,1,5359,1604088,5361,3,5359,1400000,
5361,1,5460,1604040,5463,0,5461,1400000,
5464,1,5560,1604040,5562,4,5560,1400000,
5562,1,5660,1604040,5663,2,5660,1400000,
5664,1,5760,1603916,5762,2,5761,1400000,
5762,1,5860,1604040,5862,2,5861,1400000,
5862,1,5961,1604360,5963,9,5961,1600000,
5963,1,6062,1603740,6065,18,6063,1600000,
6065,1,6162,1605228,6170,2,6163,1600000,
6171,1,6263,1606888,6267,8,6263,1600000,
6269,1,6364,1608748,6376,14,6366,1600000,
6377,1,6465,1608836,6471,16,6466,1600000,
6472,1,6566,1608960,6570,25,6566,1600000,
6571,1,6666,1608960,6681,17,6667,1500000,
6681,1,6818,1602264,6822,23,6820,1600000,
6823,1,6875,1602264,6877,25,6875,1600000,
6877,1,6969,1597232,6973,25,6970,1600000,
6974,1,7070,1593636,7072,9,7071,1500000,
7072,1,7171,1593636,7175,0,7171,1400000,
7175,1,7271,1593636,7273,6,7271,1400000,
7274,1,7372,1593636,7375,4,7372,1400000,
7375,1,7472,1593612,7475,1,7473,1400000,
7476,1,7572,1593612,7582,2,7573,1400000,
7585,1,7674,1593736,7676,4,7674,1400000,
7677,1,7774,1593736,7777,2,7775,1400000,
7777,1,7874,1593736,7877,3,7875,1400000,
7878,1,7977,1593736,7982,2,7978,1400000,
7982,1,8077,1593736,8081,3,8078,1400000,
8081,1,8178,1593736,8181,2,8178,1400000,
8181,1,8278,1593736,8281,6,8278,1400000,
8281,1,8378,1593736,8383,2,8379,1400000,
8383,1,8479,1593900,8484,7,8480,1400000,
8484,1,8579,1593900,8582,0,8579,1400000,
8582,1,8679,1593652,8682,5,8679,1400000,
8682,1,8779,1593528,8784,1,8779,1400000,
8784,1,8879,1593528,8882,7,8880,1400000,
8883,1,8979,1593528,8982,4,8980,1400000,
8982,1,9080,1593528,9082,6,9080,1400000,
9083,1,9180,1593528,9184,12,9180,1400000,
9185,1,9280,1593528,9283,4,9280,1400000,
9283,1,9381,1593528,9385,1,9381,1400000,
9385,1,9480,1593512,9483,4,9481,1400000,
9483,1,9581,1593480,9585,0,9581,1400000,
9586,1,9681,1593480,9684,4,9681,1400000,
9684,1,9781,1593356,9784,2,9782,1400000,
9784,1,9882,1593356,9885,6,9882,1400000,
9886,1,9982,1593356,9988,6,9982,1400000,
9988,1,10082,1593356,10085,2,10082,1400000,
10085,1,10182,1593356,10185,4,10182,1400000,
10185,1,10282,1593356,10285,3,10283,1400000,
10285,1,10382,1593356,10389,8,10383,1400000,
10389,1,10483,1593356,10486,0,10483,1400000,
10486,1,10583,1593384,10587,2,10584,1400000,
10588,1,10683,1594128,10687,27,10684,1600000,
10687,1,10785,1594004,10791,27,10786,1400000,
10791,1,10885,1595904,10889,27,10886,1600000,
10889,1,10986,1597268,10989,25,10986,1600000,
10989,1,11086,1598756,11089,30,11086,1600000,
11089,1,11186,1599004,11190,17,11187,1500000,
11191,1,11286,1597344,11289,21,11287,1600000,
11289,1,11387,1588292,11393,18,11388,1400000,
11394,1,11487,1589400,11491,29,11488,1600000,
11492,1,11587,1590516,11594,31,11588,1600000,
11594,1,11688,1590640,11694,15,11688,1400000,
11698,1,11788,1590888,11792,26,11789,1600000,
11792,1,11888,1591384,11893,25,11889,1500000,
11894,1,11989,1591880,11999,23,11991,1600000,
11999,1,12089,1592696,12095,32,12090,1600000,
12095,1,12190,1592696,12193,27,12191,1600000,
12194,1,12293,1595052,12305,18,12295,1600000,
12308,1,12391,1596540,12396,8,12392,1600000,
12396,1,12491,1597864,12495,7,12492,1600000,
12495,1,12592,1598812,12595,6,12592,1600000,
12595,1,12692,1600548,12695,26,12692,1600000,
12695,1,12792,1608112,12796,32,12793,1600000,
12797,1,12892,1608360,12895,14,12893,1400000,
12895,1,12992,1608360,12995,8,12993,1400000,
12996,1,13093,1608360,13096,2,13093,1400000,
13096,1,13193,1608360,13200,4,13194,1400000,
13200,1,13293,1608360,13296,7,13294,1600000,
13296,1,13393,1608360,13396,2,13394,1400000,
13396,1,13494,1608368,13496,6,13494,1400000,
13497,1,13594,1608368,13598,4,13594,1400000,
13600,1,13694,1608492,13697,14,13694,1400000,
13698,1,13794,1608492,13797,2,13795,1400000,
13797,1,13895,1608492,13897,17,13895,1600000,
13897,1,13995,1612088,14006,30,13995,1600000,
14009,1,14096,1612212,14099,33,14096,1600000,
14100,1,14196,1612212,14199,34,14196,1600000,
14200,1,14296,1612212,14298,15,14296,1600000,
14299,1,14396,1612212,14402,7,14397,1400000,
14403,1,14496,1612188,14499,4,14497,1400000,
14500,1,14597,1612188,14600,1,14597,1400000,
14600,1,14697,1612188,14700,2,14697,1400000,
14700,1,14797,1612188,14803,2,14797,1400000,
14803,1,14897,1612188,14900,6,14898,1400000,
14901,1,14998,1612188,15001,0,14998,1400000,
15002,1,15098,1612188,15101,5,15098,1400000,
15101,1,15198,1612188,15204,0,15199,1400000,
15204,1,15298,1612312,15301,6,15299,1400000,
15302,1,15399,1612312,15401,2,15399,1400000,
15402,1,15499,1612320,15502,5,15499,1400000,
15502,1,15599,1612320,15604,2,15600,1400000,
15604,1,15699,1612320,15702,28,15700,1600000,
15702,1,15800,1612320,15802,0,15800,1400000,
15803,1,15900,1612320,15903,4,15901,1400000,
15903,1,16000,1612320,16006,2,16001,1400000,
16006,1,16100,1612444,16103,9,16101,1400000,
16103,1,16201,1612444,16204,3,16201,1400000,
16204,1,16301,1612568,16304,1,16301,1400000,
16304,1,16401,1612568,16406,0,16402,1400000,
16406,1,16501,1612552,16504,5,16502,1400000,
16505,1,16602,1612568,16605,4,16602,1400000,
16605,1,16702,1612568,16705,0,16702,1400000,
16705,1,16802,1612568,16807,1,16803,1400000,
16807,1,16903,1612568,16906,6,16903,1400000,
16906,1,17003,1612568,17006,2,17003,1400000,
17006,1,17103,1612568,17106,6,17104,1400000,
17106,1,17203,1612568,17210,5,17204,1400000,
17210,1,17304,1612568,17307,4,17304,1400000,
17307,1,17404,1612568,17407,1,17404,1400000,
17407,1,17504,1612568,17507,1,17505,1400000,
17508,1,17604,1612568,17609,2,17605,1400000,
17609,1,17705,1612568,17708,13,17705,1400000,
17708,1,17805,1612568,17808,2,17806,1400000,
17808,1,17906,1612568,17909,0,17906,1400000,
17909,1,18006,1612568,18011,2,18007,1400000,
18011,1,18106,1612816,18109,4,18107,1400000,
