App,Package,Start Time,Duration,Filename
"System",,"Jul 17, 2018 @ 09:52:31 PM","57 min 32 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
5,0,0,1593764,3,0,1,0,
109,0,106,1594136,108,0,107,0,
216,0,208,1598088,215,25,209,0,
318,0,312,1593164,318,11,316,0,
424,0,413,1593164,423,2,413,0,
517,0,515,1593164,517,9,515,0,
617,0,615,1593164,617,5,615,0,
731,0,717,1593132,731,4,717,0,
821,0,817,1593256,819,9,818,0,
931,0,918,1593256,928,4,919,0,
1031,0,1018,1593256,1030,7,1019,0,
1121,0,1118,1593256,1121,6,1119,0,
1221,0,1219,1593256,1221,2,1219,0,
1331,0,1319,1593256,1330,4,1319,0,
1422,0,1419,1593256,1421,6,1420,0,
1522,0,1519,1593256,1522,5,1520,0,
1638,0,1621,1593256,1636,2,1621,0,
1723,0,1721,1593380,1723,6,1721,0,
1824,0,1821,1593380,1824,2,1822,0,
1931,0,1921,1593380,1930,2,1922,0,
2024,0,2022,1593380,2024,5,2022,0,
2124,0,2122,1593380,2124,4,2122,0,
2231,0,2222,1593380,2230,2,2223,0,
2327,0,2325,1593380,2327,6,2325,0,
2428,0,2425,1593380,2428,3,2425,0,
2536,0,2525,1593380,2536,2,2526,0,
2628,0,2626,1593380,2628,6,2626,0,
2753,0,2750,1594220,2753,11,2751,0,
2982,0,2870,1594096,2981,22,2895,0,
3169,0,2983,1595708,3168,25,2991,0,
3196,0,3169,1598228,3196,25,3169,0,
3274,0,3270,1598764,3274,13,3270,1600000,
3389,0,3385,1609428,3389,22,3386,1600000,
3480,0,3476,1612696,3479,16,3476,1600000,
3491,1,3576,1612696,3579,12,3577,1600000,
3579,1,3676,1612696,3686,8,3677,1600000,
3686,1,3777,1612580,3783,10,3778,1600000,
3783,1,3877,1612580,3879,9,3877,1600000,
3880,1,3978,1612632,3983,6,3978,1600000,
3984,1,4078,1612704,4080,11,4078,1600000,
4081,1,4178,1612632,4181,10,4179,1600000,
4181,1,4279,1612704,4284,7,4279,1400000,
4284,1,4379,1612828,4382,8,4379,1400000,
4382,1,4479,1612704,4484,13,4480,1400000,
4484,1,4580,1612704,4588,13,4581,1400000,
4589,1,4680,1612688,4683,8,4681,1400000,
4683,1,4780,1612688,4785,14,4781,1400000,
4785,1,4881,1612688,4885,10,4881,1400000,
4886,1,4981,1612796,4984,13,4982,1400000,
4985,1,5082,1612796,5086,13,5083,1400000,
5086,1,5182,1612868,5189,10,5182,1400000,
5189,1,5282,1612868,5285,9,5283,1400000,
5285,1,5382,1612868,5385,3,5383,1400000,
5385,1,5483,1612796,5486,0,5483,1400000,
5487,1,5583,1612796,5585,4,5583,1400000,
5586,1,5683,1612788,5685,3,5683,1400000,
5686,1,5783,1612780,5787,2,5784,1400000,
5787,1,5884,1612780,5889,4,5885,1400000,
5889,1,5984,1612780,5986,2,5984,1400000,
5987,1,6084,1612780,6089,0,6085,1400000,
6089,1,6185,1613356,6187,23,6185,1600000,
6187,1,6286,1612860,6288,10,6286,1600000,
6289,1,6386,1614792,6395,4,6386,1600000,
6396,1,6486,1616156,6488,5,6487,1600000,
6489,1,6587,1617148,6592,8,6587,1600000,
6593,1,6688,1621088,6696,20,6690,1600000,
6696,1,6789,1621212,6796,20,6790,1600000,
6797,1,6889,1621212,6895,20,6890,1600000,
6896,1,6991,1610848,7005,25,6992,1600000,
7005,1,7092,1606012,7102,22,7092,1600000,
7105,1,7193,1606064,7195,22,7193,1600000,
7196,1,7293,1602344,7297,14,7294,1400000,
7297,1,7394,1602344,7397,7,7395,1400000,
7397,1,7495,1602344,7499,2,7496,1400000,
7499,1,7597,1602344,7610,6,7597,1400000,
7610,1,7696,1602376,7702,5,7697,1400000,
7702,1,7796,1602376,7803,4,7797,1400000,
7804,1,7896,1602376,7901,8,7897,1400000,
7901,1,7997,1602376,8000,0,7997,1400000,
8000,1,8097,1602376,8101,2,8098,1400000,
8101,1,8197,1602500,8201,4,8198,1400000,
8201,1,8297,1602376,8301,8,8298,1400000,
8302,1,8398,1602376,8402,4,8398,1400000,
8402,1,8498,1602376,8502,4,8499,1400000,
8502,1,8598,1602376,8602,4,8599,1400000,
8602,1,8699,1602384,8702,8,8699,1400000,
8703,1,8799,1602384,8803,1,8799,1400000,
8803,1,8899,1602136,8904,6,8900,1400000,
8904,1,8999,1602136,9004,0,9001,1400000,
9004,1,9100,1602136,9104,2,9100,1400000,
9104,1,9200,1602136,9203,4,9200,1400000,
9204,1,9300,1602136,9304,9,9301,1400000,
9304,1,9401,1602136,9406,4,9402,1400000,
9406,1,9502,1602136,9506,6,9503,1400000,
9506,1,9602,1602136,9606,4,9603,1400000,
9606,1,9702,1602096,9706,6,9703,1400000,
9706,1,9803,1602220,9807,5,9803,1400000,
9807,1,9903,1602220,9907,4,9904,1400000,
9907,1,10003,1602220,10007,3,10004,1400000,
10008,1,10104,1602220,10108,4,10104,1400000,
10108,1,10204,1602124,10207,1,10204,1400000,
10208,1,10304,1602248,10308,6,10305,1400000,
10308,1,10404,1602372,10408,2,10405,1400000,
10408,1,10505,1602372,10508,4,10505,1400000,
10509,1,10605,1602372,10609,4,10605,1400000,
10609,1,10706,1602436,10712,6,10706,1400000,
10712,1,10805,1602464,10810,7,10806,1400000,
10810,1,10908,1602092,10911,8,10908,1600000,
10912,1,11008,1602836,11011,27,11008,1600000,
11012,1,11108,1604696,11111,32,11108,1600000,
11111,1,11208,1606308,11212,27,11209,1600000,
11212,1,11308,1607372,11312,30,11309,1600000,
11313,1,11409,1607496,11413,15,11409,1400000,
11413,1,11515,1608556,11530,33,11516,1600000,
11530,1,11616,1598264,11626,30,11617,1400000,
11627,1,11716,1599364,11727,31,11717,1400000,
11727,1,11816,1600108,11820,36,11817,1600000,
11820,1,11917,1601844,11935,38,11918,1600000,
11936,1,12017,1602216,12020,37,12017,1600000,
12021,1,12118,1602588,12123,23,12118,1400000,
12123,1,12219,1603112,12224,31,12219,1400000,
12225,1,12321,1603360,12325,27,12321,1600000,
12325,1,12419,1604848,12438,32,12420,1600000,
12439,1,12520,1606460,12524,30,12520,1400000,
12525,1,12620,1607452,12624,26,12621,1600000,
12624,1,12720,1608264,12724,30,12721,1600000,
12725,1,12821,1609752,12830,35,12821,1600000,
12830,1,12922,1613472,12927,43,12922,1600000,
12929,1,13021,1619548,13032,39,13022,1600000,
13033,1,13122,1624756,13125,31,13122,1600000,
13125,1,13223,1624632,13227,18,13223,1400000,
13227,1,13323,1624632,13328,6,13324,1400000,
13329,1,13423,1624632,13427,10,13424,1400000,
13427,1,13523,1624632,13527,1,13524,1400000,
13527,1,13624,1624632,13628,10,13624,1400000,
13628,1,13724,1624672,13728,1,13724,1400000,
13728,1,13824,1624672,13828,3,13825,1400000,
13828,1,13924,1624920,13928,15,13925,1400000,
13928,1,14025,1624920,14031,2,14026,1400000,
14032,1,14125,1624920,14129,5,14125,1400000,
14129,1,14225,1624920,14229,6,14226,1400000,
14229,1,14325,1624920,14329,2,14326,1400000,
14329,1,14426,1624920,14430,3,14427,1400000,
14430,1,14526,1624920,14530,2,14527,1400000,
14530,1,14627,1624920,14630,5,14627,1400000,
14630,1,14727,1624896,14730,3,14727,1400000,
14731,1,14829,1624896,14841,5,14830,1400000,
14841,1,14929,1624896,14933,4,14930,1400000,
14933,1,15030,1624896,15045,4,15030,1400000,
15045,1,15130,1624896,15134,7,15130,1400000,
15134,1,15180,1624896,15186,4,15181,1400000,
15187,1,15280,1624896,15285,4,15281,1400000,
15285,1,15380,1624896,15385,6,15381,1400000,
15385,1,15481,1624896,15484,4,15481,1400000,
15484,1,15581,1624896,15584,6,15581,1400000,
15585,1,15683,1624896,15687,4,15683,1400000,
15687,1,15783,1624896,15787,6,15783,1400000,
15787,1,15883,1624896,15887,8,15884,1400000,
15888,1,15983,1624896,15987,4,15984,1400000,
15987,1,16084,1625020,16088,11,16084,1400000,
16088,1,16184,1625020,16195,0,16185,1400000,
16195,1,16284,1625020,16288,10,16284,1400000,
16289,1,16384,1625020,16388,4,16385,1400000,
16388,1,16484,1625020,16488,4,16485,1400000,
16488,1,16585,1625020,16588,2,16585,1400000,
16589,1,16685,1625136,16689,6,16686,1400000,
16689,1,16790,1625136,16793,4,16790,1400000,
16794,1,16890,1625136,16894,2,16890,1400000,
16894,1,16990,1625136,16994,6,16991,1400000,
16994,1,17090,1625136,17094,6,17091,1400000,
17094,1,17191,1625136,17194,2,17191,1400000,
17195,1,17291,1625136,17294,2,17291,1400000,
17295,1,17391,1625136,17395,6,17392,1400000,
17395,1,17491,1625136,17497,2,17492,1400000,
17497,1,17591,1625136,17595,4,17592,1400000,
17595,1,17692,1625160,17695,1,17692,1400000,
17695,1,17792,1625152,17795,6,17792,1400000,
17796,1,17892,1625152,17896,2,17893,1400000,
17896,1,17992,1625152,17996,13,17993,1400000,
17996,1,18094,1625152,18097,4,18094,1400000,
18098,1,18193,1625152,18198,2,18194,1400000,
18198,1,18294,1625152,18300,5,18294,1400000,
18300,1,18394,1625152,18399,4,18396,1400000,
18400,1,18494,1625152,18501,2,18495,1400000,
18501,1,18595,1625152,18599,8,18595,1400000,
18599,1,18695,1625136,18700,4,18695,1400000,
18700,1,18795,1625136,18800,2,18795,1400000,
18800,1,18895,1625136,18899,4,18896,1400000,
18899,1,18995,1625136,18999,2,18996,1400000,
18999,1,19096,1625136,19100,5,19096,1400000,
19100,1,19196,1625136,19199,3,19196,1400000,
19200,1,19296,1625136,19301,2,19297,1400000,
19301,1,19396,1625136,19400,4,19397,1400000,
19400,1,19497,1625136,19500,6,19497,1400000,
19501,1,19597,1625136,19601,4,19597,1400000,
19601,1,19697,1625136,19701,2,19697,1400000,
19701,1,19797,1625136,19801,4,19798,1400000,
19801,1,19897,1625136,19901,8,19898,1400000,
19901,1,19998,1625136,20001,12,19998,1400000,
20001,1,20098,1625136,20102,4,20099,1400000,
20102,1,20200,1625136,20205,1,20201,1400000,
20206,1,20298,1625136,20302,4,20299,1400000,
20302,1,20399,1625136,20403,2,20399,1400000,
20403,1,20499,1625136,20503,1,20500,1400000,
20503,1,20599,1625136,20603,2,20600,1400000,
20603,1,20700,1625184,20704,5,20700,1400000,
20704,1,20800,1625160,20804,2,20801,1400000,
20804,1,20900,1625160,20904,6,20901,1400000,
20904,1,21003,1625160,21007,0,21004,1400000,
21007,1,21101,1625160,21107,2,21101,1400000,
21108,1,21201,1625160,21205,3,21202,1400000,
21205,1,21301,1625160,21305,6,21302,1400000,
21305,1,21402,1625160,21406,0,21403,1400000,
21407,1,21502,1625160,21505,6,21502,1400000,
21506,1,21602,1625088,21606,2,21603,1400000,
21606,1,21702,1625136,21706,2,21703,1400000,
21706,1,21803,1625136,21808,4,21803,1400000,
21808,1,21903,1625260,21907,2,21904,1400000,
21907,1,22004,1625508,22011,11,22004,1400000,
22011,1,22104,1625508,22107,8,22104,1400000,
22108,1,22204,1625508,22208,4,22204,1400000,
22208,1,22304,1625508,22309,8,22305,1400000,
22309,1,22405,1625508,22408,4,22405,1400000,
22409,1,22505,1625508,22508,0,22505,1400000,
22508,1,22605,1625632,22611,6,22606,1400000,
22611,1,22705,1625656,22709,0,22706,1400000,
22709,1,22806,1625648,22812,2,22806,1400000,
22812,1,22906,1625648,22911,2,22907,1400000,
22911,1,23006,1625648,23011,2,23007,1400000,
23011,1,23107,1625648,23110,4,23107,1400000,
23110,1,23208,1625648,23215,0,23209,1400000,
23215,1,23307,1625648,23311,8,23307,1400000,
23311,1,23407,1625648,23411,7,23408,1400000,
23411,1,23507,1625648,23511,4,23508,1400000,
23512,1,23608,1625648,23617,2,23610,1400000,
23617,1,23708,1625696,23712,3,23709,1400000,
23712,1,23808,1625696,23812,5,23809,1400000,
23812,1,23909,1625696,23912,4,23909,1400000,
23913,1,24009,1625696,24013,0,24009,1400000,
24013,1,24109,1625696,24113,3,24110,1400000,
24113,1,24209,1625696,24213,3,24210,1400000,
24213,1,24310,1625696,24313,4,24310,1400000,
24314,1,24410,1625696,24418,0,24412,1400000,
24422,1,24510,1625696,24514,7,24511,1400000,
24514,1,24611,1625696,24614,5,24611,1400000,
24615,1,24711,1625720,24714,4,24711,1400000,
24714,1,24811,1625720,24814,4,24811,1400000,
24815,1,24911,1625844,24915,8,24912,1400000,
24915,1,25012,1625844,25017,4,25013,1400000,
25018,1,25112,1625844,25116,6,25112,1400000,
25116,1,25212,1625844,25216,4,25213,1400000,
25216,1,25313,1625968,25317,2,25314,1400000,
25317,1,25413,1625968,25417,2,25414,1400000,
25417,1,25514,1625968,25517,3,25514,1400000,
25518,1,25614,1625968,25618,8,25614,1400000,
25618,1,25714,1625968,25718,0,25715,1400000,
25718,1,25814,1625968,25818,4,25815,1400000,
25818,1,25914,1625968,25918,3,25915,1400000,
25919,1,26015,1625968,26020,4,26016,1400000,
26021,1,26115,1625968,26119,17,26116,1400000,
26119,1,26216,1625968,26219,6,26216,1400000,
26219,1,26316,1625968,26319,4,26316,1400000,
26320,1,26417,1625968,26420,4,26417,1400000,
26421,1,26517,1625968,26521,6,26518,1400000,
26521,1,26617,1625968,26621,4,26618,1400000,
26621,1,26717,1625976,26721,8,26718,1400000,
26722,1,26818,1625976,26821,6,26818,1400000,
26821,1,26918,1625976,26924,4,26920,1400000,
26925,1,27018,1625976,27021,4,27019,1400000,
27022,1,27118,1625976,27125,6,27119,1400000,
27125,1,27219,1625976,27223,6,27219,1400000,
27223,1,27320,1625976,27332,4,27321,1400000,
27333,1,27421,1626100,27424,7,27421,1400000,
27424,1,27520,1626100,27525,4,27520,1400000,
27525,1,27620,1626100,27624,8,27621,1400000,
27624,1,27722,1626100,27726,0,27722,1400000,
27728,1,27822,1626100,27829,4,27823,1400000,
27829,1,27921,1626100,27925,0,27922,1400000,
27925,1,28022,1626100,28025,3,28022,1400000,
28025,1,28122,1626100,28125,4,28122,1400000,
28126,1,28222,1626100,28226,8,28223,1400000,
28227,1,28322,1626100,28326,2,28323,1400000,
28326,1,28423,1626100,28426,2,28423,1400000,
28427,1,28523,1626100,28527,6,28523,1400000,
